date,current_return_raw_return_net,current_return_raw_nav_net,current_return_raw_current_execution_scale,current_return_raw_next_session_target_scale,current_return_raw_target_vol_realized_vol,current_return_raw_target_vol_return,current_return_raw_target_vol_return_source,current_return_raw_holding,current_return_raw_next_holding,proposed_overlay_first_return_net,proposed_overlay_first_nav_net,proposed_overlay_first_current_execution_scale,proposed_overlay_first_next_session_target_scale,proposed_overlay_first_target_vol_realized_vol,proposed_overlay_first_target_vol_return,proposed_overlay_first_target_vol_return_source,proposed_overlay_first_holding,proposed_overlay_first_next_holding,constructed_spread_always_return_net,constructed_spread_always_nav_net,constructed_spread_always_current_execution_scale,constructed_spread_always_next_session_target_scale,constructed_spread_always_target_vol_realized_vol,constructed_spread_always_target_vol_return,constructed_spread_always_target_vol_return_source,constructed_spread_always_holding,constructed_spread_always_next_holding
2019-04-26,-0.005796994265920508,23.09469181955296,1.5,1.5,0.05510947013060877,-0.0038239143140893746,return_raw,long_microcap_short_zz1000,long_microcap_short_zz1000,-0.005796994265920508,23.27365828211578,1.5,1.5,0.05510947013060856,-0.0038239143140893495,overlay_pre_cost_return,long_microcap_short_zz1000,long_microcap_short_zz1000,-0.005796994265920508,23.09469181955296,1.5,1.5,0.10277096601144176,-0.003583914314089375,constructed_microcap_minus_hedge,long_microcap_short_zz1000,long_microcap_short_zz1000
2019-04-29,-0.020531552684797227,22.620521937720653,1.5,1.5,0.062351486332116644,-0.013647557172477856,return_raw,long_microcap_short_zz1000,long_microcap_short_zz1000,-0.020531552684797227,22.79581394092855,1.5,1.5,0.06235148633211649,-0.013647557172477898,overlay_pre_cost_return,long_microcap_short_zz1000,long_microcap_short_zz1000,-0.020531552684797227,22.620521937720653,1.5,1.5,0.10550724066920325,-0.013407557172477855,constructed_microcap_minus_hedge,long_microcap_short_zz1000,long_microcap_short_zz1000
2019-04-30,0.009044842704741374,22.82512100054649,1.5,1.5,0.06330529747214925,0.006071251975755061,return_raw,long_microcap_short_zz1000,long_microcap_short_zz1000,0.009044842704741374,23.0019984923508,1.5,1.5,0.06330529747214912,0.006071251975755088,overlay_pre_cost_return,long_microcap_short_zz1000,long_microcap_short_zz1000,0.009044842704741374,22.82512100054649,1.5,1.5,0.10472199756423459,0.0063112519757550604,constructed_microcap_minus_hedge,long_microcap_short_zz1000,long_microcap_short_zz1000
2019-05-06,-0.0065176639643121925,22.67635453192016,1.5,1.5,0.06386397492207742,-0.0035285186840031913,return_raw,long_microcap_short_zz1000,long_microcap_short_zz1000,-0.0065176639643121925,22.852079195670044,1.5,1.5,0.06386397492207728,-0.003528518684003168,overlay_pre_cost_return,long_microcap_short_zz1000,long_microcap_short_zz1000,-0.0065176639643121925,22.67635453192016,1.5,1.5,0.09892183850906607,-0.0032885186840031916,constructed_microcap_minus_hedge,long_microcap_short_zz1000,long_microcap_short_zz1000
2019-05-07,0.014411079640994418,23.003145283047086,1.5,1.5,0.06637839950153082,0.00964896320785466,return_raw,long_microcap_short_zz1000,long_microcap_short_zz1000,0.014411079640994418,23.181402328921155,1.5,1.5,0.06637839950153071,0.009648963207854688,overlay_pre_cost_return,long_microcap_short_zz1000,long_microcap_short_zz1000,0.014411079640994418,23.003145283047086,1.5,1.5,0.09936124898212835,0.009888963207854661,constructed_microcap_minus_hedge,long_microcap_short_zz1000,long_microcap_short_zz1000
2019-05-08,0.01401719487004982,23.325584853103624,1.5,1.5,0.06857225813402111,0.009386357216747205,return_raw,long_microcap_short_zz1000,long_microcap_short_zz1000,0.01401719487004982,23.50634056272667,1.5,1.5,0.06857225813402101,0.009386357216747188,overlay_pre_cost_return,long_microcap_short_zz1000,long_microcap_short_zz1000,0.01401719487004982,23.325584853103624,1.5,1.5,0.0949681364558705,0.009626357216747206,constructed_microcap_minus_hedge,long_microcap_short_zz1000,long_microcap_short_zz1000
2019-05-09,0.007803219915794468,23.507599521376918,1.5,1.5,0.06908268338218682,0.005243452560482105,return_raw,long_microcap_short_zz1000,long_microcap_short_zz1000,0.007803219915794468,23.689765707553185,1.5,1.5,0.06908268338218668,0.005243452560482087,overlay_pre_cost_return,long_microcap_short_zz1000,long_microcap_short_zz1000,0.007803219915794468,23.507599521376918,1.5,1.5,0.09484352641568815,0.005483452560482105,constructed_microcap_minus_hedge,long_microcap_short_zz1000,long_microcap_short_zz1000
2019-05-10,0.001470785455347734,23.5421741568431,1.5,1.5,0.06904946413015518,0.0010215700448929332,return_raw,long_microcap_short_zz1000,long_microcap_short_zz1000,0.001470785455347734,23.724608270396452,1.5,1.5,0.06904946413015506,0.0010215700448930054,overlay_pre_cost_return,long_microcap_short_zz1000,long_microcap_short_zz1000,0.001470785455347734,23.5421741568431,1.5,1.5,0.09479597513388113,0.0012615700448929332,constructed_microcap_minus_hedge,long_microcap_short_zz1000,long_microcap_short_zz1000
2019-05-13,0.006667207446287904,23.69913471568341,1.5,1.5,0.06935596820777566,0.004486064353394022,return_raw,long_microcap_short_zz1000,long_microcap_short_zz1000,0.006667207446287904,23.8827851553171,1.5,1.5,0.06935596820777554,0.004486064353393937,overlay_pre_cost_return,long_microcap_short_zz1000,long_microcap_short_zz1000,0.006667207446287904,23.69913471568341,1.5,1.5,0.09478419358283055,0.004726064353394022,constructed_microcap_minus_hedge,long_microcap_short_zz1000,long_microcap_short_zz1000
2019-05-14,-0.0031300069646622575,23.62495625896685,1.5,1.5,0.06961689759784025,-0.0020458134704389322,return_raw,long_microcap_short_zz1000,long_microcap_short_zz1000,-0.0031300069646622575,23.808031871445426,1.5,1.5,0.06961689759784012,-0.002045813470438973,overlay_pre_cost_return,long_microcap_short_zz1000,long_microcap_short_zz1000,-0.0031300069646622575,23.62495625896685,1.5,1.5,0.09507272660210558,-0.0018058134704389325,constructed_microcap_minus_hedge,long_microcap_short_zz1000,long_microcap_short_zz1000
