序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比
147,000016,上证50,2899.9,0.52,15.14,41858693,121185785766.0,0.73,2915.7,2894.68,2900.5,2884.76,0.97
148,000017,新综指,3369.77,0.52,17.37,531090764,927544704370.0,0.79,3390.34,3363.93,3368.72,3352.4,1.0
149,000001,上证指数,3986.71,0.52,20.54,539458291,945156493697.6,0.79,4011.02,3979.81,3985.46,3966.17,1.0
150,000042,上证央企,1735.47,0.52,9.05,50945593,65974755658.0,0.69,1743.07,1731.24,1732.27,1726.42,0.9
151,000002,Ａ股指数,4180.43,0.52,21.57,539150693,944604539954.0,0.79,4205.92,4173.17,4179.11,4158.86,1.0
152,000054,上证海外,1521.03,0.52,7.84,57874678,96868506586.0,0.95,1532.2,1517.83,1520.99,1513.19,0.96
153,000965,基本200,5428.28,0.51,27.6,160158313,263300789718.0,0.75,5447.87,5407.12,5418.85,5400.68,0.99
154,000132,上证100,6030.5,0.51,30.32,11569463,42629599394.0,1.31,6104.33,6025.74,6050.32,6000.18,0.99
155,000926,中证央企,2387.66,0.51,12.16,185047264,269864934640.0,0.73,2402.4,2385.01,2388.09,2375.5,0.92
156,000126,消费50,7413.39,0.49,36.42,7874149,27229641483.0,0.86,7455.84,7392.54,7399.64,7376.97,0.91
157,000133,上证150,7327.99,0.48,34.84,18523887,52707031051.0,1.22,7415.49,7326.25,7364.21,7293.15,1.03
158,000683,科创生物,1074.94,0.47,4.98,2809013,13556413321.0,2.12,1089.74,1067.04,1071.59,1069.96,0.83
159,000031,180R价值,3134.09,0.46,14.43,105712865,167559874824.0,0.78,3150.63,3126.34,3131.8,3119.66,0.97
160,000037,上证医药,6384.01,0.46,28.93,6722302,22483735681.0,1.7,6455.0,6346.7,6368.46,6355.08,0.89
161,000058,全指价值,4579.77,0.46,21.05,100827478,118537374920.0,0.9,4606.75,4565.94,4575.01,4558.72,0.93
162,000056,上证国企,1243.46,0.44,5.39,62506727,117932722173.0,0.71,1249.84,1241.1,1244.63,1238.07,1.01
163,000107,380可选,5049.93,0.44,21.96,3785624,8930977483.0,1.09,5100.65,5045.89,5048.19,5027.97,0.95
164,000120,380R价值,10343.57,0.44,45.16,91457810,171400330081.0,1.17,10447.87,10327.47,10364.28,10298.41,0.99
165,000074,消费等权,6733.85,0.42,28.47,3090743,12140876525.0,0.87,6768.12,6709.64,6729.43,6705.38,0.87
166,000103,沪消费品,7614.91,0.42,31.63,4666395,26022805393.0,1.26,7676.98,7581.55,7596.28,7583.28,0.92
167,000919,300价值,5143.82,0.42,21.44,84642096,103476755071.0,0.83,5172.82,5130.3,5140.68,5122.38,0.96
168,000151,上国红利,1595.56,0.41,6.44,13806652,14506717797.0,1.26,1604.51,1584.44,1589.81,1589.12,0.81
169,000913,300医药,8117.54,0.39,31.8,4146363,18234149237.4,1.69,8204.95,8068.45,8104.15,8085.74,0.9
170,000029,180价值,4233.58,0.39,16.46,53695418,65623649972.0,0.86,4259.25,4223.16,4229.5,4217.12,0.92
171,000925,基本面50,4392.76,0.38,16.66,45629774,90753029452.0,0.67,4406.84,4377.58,4386.37,4376.1,0.91
172,000069,消费80,4614.21,0.38,17.44,11804306,44547974550.0,0.98,4643.48,4598.33,4609.37,4596.77,0.91
173,000952,300地产,2091.38,0.37,7.73,2580387,1334146829.0,1.05,2111.4,2089.52,2089.59,2083.65,0.78
174,000814,细分医药,8537.71,0.37,31.17,6260362,25813960107.3,1.79,8637.73,8485.32,8517.83,8506.54,0.87
175,000841,800医药,8547.64,0.36,30.59,6838226,26570985802.0,1.76,8649.15,8499.37,8529.79,8517.05,0.9
176,000096,上证下游,4021.41,0.36,14.4,30714660,66638537192.0,0.71,4037.02,4008.7,4018.99,4007.01,1.04
177,000055,上证地企,1543.5,0.35,5.41,40276328,68567243265.0,0.78,1553.85,1541.83,1547.56,1538.09,1.17
178,000847,腾讯济安,3611.65,0.35,12.58,32578909,91856133588.0,1.01,3645.56,3609.03,3619.98,3599.07,1.04
179,000100,上证F500,6156.87,0.35,21.25,252909515,390876823041.0,0.76,6191.94,6145.19,6159.95,6135.62,0.99
180,000063,上证周期,3814.68,0.34,13.07,57640328,84857066782.0,0.85,3844.83,3812.51,3821.1,3801.61,0.98
181,000008,综合指数,3385.57,0.33,11.23,95280067,109859332237.2,0.79,3404.22,3377.6,3381.87,3374.34,0.98
182,000079,公用等权,2672.54,0.32,8.42,24515239,14804038788.0,0.97,2686.95,2661.19,2679.42,2664.12,0.87
183,000128,380基本,9406.39,0.32,30.07,103506833,217695709580.0,1.03,9486.6,9390.34,9422.27,9376.32,1.01
184,000942,内地消费,9513.25,0.31,29.65,9157754,41496111571.0,0.65,9542.58,9481.2,9502.14,9483.6,1.01
185,000824,国企红利,2196.13,0.31,6.73,37700977,38381610866.0,0.78,2204.87,2187.76,2195.26,2189.4,0.8
186,000053,180基本,12210.75,0.29,35.16,124783642,268790687110.0,0.66,12270.66,12190.06,12215.69,12175.59,0.99
187,000065,上证龙头,3659.61,0.29,10.76,80870059,172060432749.0,0.86,3685.71,3654.24,3665.29,3648.85,1.02
188,000130,380波动,13763.76,0.28,38.96,28788876,23246589071.0,0.76,13831.76,13726.92,13767.45,13724.8,0.92
189,000098,上证F200,5412.9,0.28,15.12,145553989,209433319259.0,0.71,5440.85,5402.41,5416.07,5397.78,0.93
190,000142,380稳定,10295.5,0.28,28.88,52157292,62495522917.0,0.95,10383.98,10286.62,10324.3,10266.62,0.92
191,000093,180分层,12073.05,0.28,33.62,124783642,268790687110.0,0.73,12149.32,12061.87,12089.96,12039.43,0.99
192,000970,ESG 40,1806.42,0.27,4.81,23748817,46347851902.0,0.71,1813.0,1800.26,1806.51,1801.61,0.86
193,000922,中证红利,5695.04,0.26,14.7,38075305,44209428282.0,0.76,5718.11,5674.68,5694.25,5680.34,0.76
194,000019,治理指数,1221.47,0.26,3.14,75659913,144377606926.0,0.63,1227.15,1219.48,1222.98,1218.33,0.92
195,000048,责任指数,1405.77,0.26,3.65,28360029,63184811462.0,0.8,1414.29,1403.05,1407.4,1402.12,0.91
196,000015,红利指数,3211.96,0.23,7.42,25634204,26070681734.0,0.86,3226.64,3199.06,3210.22,3204.54,0.74
197,000003,Ｂ股指数,266.02,0.23,0.6,204462,86568344.6,0.47,266.92,265.68,265.68,265.42,0.82
