序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
289,300205,*ST天喻,5.49,4.57,0.24,62539.0,34047715.0,6.86,5.56,5.2,5.2,5.25,0.69,1.45,-14.23,2.4,2361007440.0,2361007440.0,0.37,-0.18,12.96,14.38
290,300731,科创新源,69.26,4.57,3.03,87449.0,604260453.0,7.58,70.65,65.63,66.23,66.23,1.01,7.28,243.33,14.14,8770518745.0,8323610630.0,-0.16,-0.2,17.97,23.19
291,300926,博俊科技,25.83,4.57,1.13,84531.0,217900616.07,5.22,26.12,24.83,24.83,24.7,1.58,2.84,13.29,3.22,11218482888.0,7696996461.0,-0.12,-0.15,-21.08,-21.2
292,605088,冠盛股份,34.37,4.56,1.5,46217.0,156448142.0,5.29,34.6,32.86,32.86,32.87,2.13,2.31,23.24,2.43,6967694442.0,6864213246.0,-0.12,-0.15,-9.03,-3.46
293,920100,三协电机,49.12,4.56,2.14,9436.0,46241174.13,6.15,50.14,47.25,47.79,46.98,1.4,4.82,60.24,7.87,3625512816.0,961285179.0,0.04,0.06,-29.83,-33.32
294,002240,盛新锂能,40.77,4.54,1.77,612150.0,2465802775.66,5.21,41.0,38.97,39.2,39.0,1.45,6.71,-42.02,3.64,37316531161.0,37219288596.0,0.07,0.07,11.33,18.41
295,300473,德尔股份,32.77,4.53,1.42,51067.0,166171539.0,5.81,33.03,31.21,31.53,31.35,2.01,3.39,53.56,2.9,5658146291.0,4932703857.0,0.09,-0.03,7.51,10.04
296,002158,汉钟精机,24.53,4.52,1.06,109997.0,270183476.22,5.45,25.0,23.72,23.82,23.47,2.61,2.06,27.92,3.0,13116783130.0,13088892765.0,-0.2,-0.28,-1.53,-2.0
297,920152,昆工科技,16.17,4.52,0.7,24746.0,39717192.89,7.24,16.54,15.42,15.7,15.47,1.66,3.01,-8.78,8.65,1800395289.0,1328547008.0,0.0,0.0,-37.45,-27.16
298,688029,南微医学,80.0,4.49,3.44,24203.0,191466252.0,5.13,80.28,76.35,76.35,76.56,1.51,1.29,26.36,3.66,15027793760.0,15027793760.0,-0.01,0.0,-7.25,-1.91
299,688559,海目星,55.2,4.49,2.37,72869.0,398321581.0,4.64,55.45,53.0,53.47,52.83,1.29,2.94,-15.61,5.68,13676299229.0,13676299229.0,-0.07,-0.25,1.98,14.86
300,601688,华泰证券,18.73,4.46,0.8,1710846.0,3219731964.0,5.35,19.23,18.27,18.27,17.93,2.82,2.34,10.32,0.97,169073158712.0,136855579325.0,-0.05,-0.16,-25.73,-20.6
301,688002,睿创微纳,121.17,4.45,5.16,147121.0,1785356221.0,7.46,124.67,116.01,117.54,116.01,1.84,3.16,50.18,8.66,56433241783.0,56433241783.0,-0.03,0.0,20.99,20.21
302,000783,长江证券,7.28,4.45,0.31,1186701.0,866555670.4,4.02,7.42,7.14,7.2,6.97,3.32,2.15,8.95,1.13,40258931061.0,40258931061.0,0.0,0.14,-16.8,-10.67
303,002353,杰瑞股份,117.48,4.44,4.99,228355.0,2684424275.14,8.46,120.68,111.16,113.0,112.49,0.83,3.29,49.9,5.43,120282583261.0,81442292197.0,-0.01,-0.21,58.67,65.86
304,301032,新柴股份,13.19,4.43,0.56,97911.0,130516846.0,8.47,13.72,12.65,12.69,12.63,2.04,6.12,40.26,2.64,3180549546.0,2108721902.0,-0.15,-0.23,6.72,9.64
305,002983,芯瑞达,24.33,4.42,1.03,43267.0,106135922.03,7.85,25.28,23.45,23.53,23.3,2.16,3.38,43.29,3.96,5441711593.0,3118072413.0,0.04,0.0,4.38,6.71
306,603027,千禾味业,9.92,4.42,0.42,282968.0,276535545.0,5.16,9.96,9.47,9.52,9.5,2.19,2.26,38.19,2.99,13224604087.0,12396184441.0,0.0,0.1,-3.22,0.92
307,002380,科远智慧,34.96,4.42,1.48,135634.0,471427191.92,6.51,35.68,33.5,33.93,33.48,2.65,9.57,28.99,3.45,8390108049.0,4955646074.0,0.17,0.14,26.07,28.53
308,301606,绿联科技,76.13,4.42,3.22,69489.0,521560550.48,4.9,76.51,72.94,73.74,72.91,1.81,4.21,44.83,9.34,31587083531.0,12561358416.0,-0.1,-0.14,24.99,29.61
309,301292,海科新源,85.01,4.41,3.59,293028.0,2497178080.53,10.55,89.0,80.41,81.08,81.42,1.66,34.45,-110.96,7.0,18939869088.0,7231685681.0,-0.98,-1.16,36.78,31.98
310,600509,天富能源,8.06,4.4,0.34,439864.0,352204479.0,5.7,8.2,7.76,7.82,7.72,1.46,3.2,22.2,1.42,11077643100.0,11077643100.0,0.12,-0.12,-4.95,-2.42
311,603058,永吉股份,12.61,4.39,0.53,137177.0,172592741.0,6.21,12.89,12.14,12.2,12.08,2.07,3.32,39.7,4.24,5229210699.0,5215962129.0,0.08,0.24,30.0,34.58
312,002329,皇氏集团,4.04,4.39,0.17,572614.0,231297858.09,5.94,4.12,3.89,3.91,3.87,1.69,8.8,-51.22,3.76,3362912099.0,2627571253.0,-0.25,0.0,0.5,3.59
313,600106,重庆路桥,6.19,4.38,0.26,388960.0,237873070.0,5.23,6.22,5.91,5.93,5.93,1.37,2.93,31.09,1.59,8226665134.0,8226665134.0,0.0,0.0,-2.83,-1.12
314,688486,龙迅股份,63.78,4.37,2.67,26103.0,167303617.0,1.78,64.69,63.6,63.6,61.11,1.98,1.96,49.46,5.45,8503639558.0,8503124152.0,-0.03,0.13,-24.07,-14.17
315,603903,中持股份,11.93,4.37,0.5,93134.0,111350085.0,7.79,12.36,11.47,11.48,11.43,2.33,3.65,48.0,1.95,3045961396.0,3045961396.0,-0.17,-0.25,-5.91,-18.01
316,002833,弘亚数控,18.48,4.35,0.77,73904.0,136987334.33,6.15,18.88,17.79,17.81,17.71,2.64,2.56,17.33,2.73,7839812128.0,5326475745.0,0.05,0.11,13.03,12.89
317,300059,东方财富,19.77,4.33,0.82,5920470.0,11823338351.52,6.54,20.46,19.22,19.22,18.95,2.86,4.44,25.85,3.4,312445824835.0,263687388198.0,0.0,-0.05,-19.4,-14.71
318,300096,ST易联众,8.91,4.33,0.37,126919.0,113201520.28,5.74,9.08,8.59,8.6,8.54,2.2,2.95,75.73,10.93,3831300000.0,3831300000.0,-0.11,-0.22,19.12,19.92
319,301587,中瑞股份,26.15,4.31,1.08,103768.0,271160797.88,6.06,26.7,25.18,25.18,25.07,1.69,14.13,114.97,1.93,3852628246.0,1920796996.0,0.0,-0.08,7.79,11.75
320,600583,海油工程,7.03,4.3,0.29,1052093.0,729701881.0,5.79,7.07,6.68,6.73,6.74,1.16,2.38,14.91,1.17,31082124244.0,31082124244.0,0.0,0.14,25.54,28.05
321,301328,维峰电子,49.86,4.29,2.05,16712.0,83140551.0,5.21,50.5,48.01,48.11,47.81,2.12,1.52,50.36,2.82,5479294597.0,5479227286.0,-0.1,-0.2,3.17,4.81
322,301377,鼎泰高科,214.79,4.29,8.84,36452.0,774843380.67,6.74,218.88,205.0,206.03,205.95,1.1,5.13,203.08,33.25,88063900000.0,15255244960.0,0.14,-0.01,46.46,54.41
323,300990,同飞股份,85.8,4.28,3.52,51518.0,443207086.35,6.93,88.7,83.0,83.93,82.28,1.78,6.68,57.87,7.01,14635691070.0,6617451984.0,0.0,-0.08,-4.93,-4.61
324,600753,*ST海钦,12.46,4.27,0.51,43712.0,53825953.0,4.52,12.54,12.0,12.16,11.95,1.3,1.9,83.82,129.05,2869627401.0,2869627401.0,-0.4,-0.4,51.77,46.76
325,920047,诺思兰德,30.78,4.27,1.26,85063.0,252966704.8,8.1,31.17,28.78,29.7,29.52,0.91,4.72,-157.14,30.48,8442091360.0,5543675823.0,-0.16,-0.48,26.1,29.82
326,002808,*ST恒久,4.64,4.27,0.19,50119.0,23188759.4,4.72,4.67,4.46,4.49,4.45,2.0,3.04,-37.95,4.78,1247232000.0,765627506.0,0.22,0.43,-11.79,-7.57
327,688683,莱尔科技,37.01,4.25,1.51,24682.0,91852821.0,7.24,37.99,35.42,35.68,35.5,1.38,1.59,140.41,4.99,5962229578.0,5743135152.0,-0.11,0.11,13.53,16.75
328,600176,中国巨石,29.19,4.25,1.19,1140895.0,3319898431.0,6.25,29.85,28.1,29.34,28.0,1.4,2.85,35.57,3.76,116851561090.0,116851561090.0,0.17,0.21,66.32,70.7
329,002921,联诚精密,27.45,4.25,1.12,69237.0,189663643.68,5.73,27.88,26.37,26.99,26.33,1.15,5.39,-267.04,3.09,4089229986.0,3527369744.0,0.15,0.11,60.25,61.28
330,603667,五洲新春,70.48,4.24,2.87,276460.0,1972601827.0,8.02,74.0,68.58,68.61,67.61,2.04,7.55,196.56,8.65,25809971230.0,25809971230.0,-0.03,-0.01,-6.77,0.71
331,300476,胜宏科技,289.79,4.23,11.77,477961.0,13837191753.47,6.05,295.8,278.99,281.0,278.02,1.47,5.58,58.64,15.18,252858383734.0,248344110460.0,-0.02,-0.07,-5.91,0.77
332,688767,博拓生物,34.52,4.23,1.4,32935.0,115275595.0,6.04,35.99,33.99,34.5,33.12,2.55,2.21,110.16,2.18,5154986690.0,5154986690.0,-0.38,-0.29,-25.27,-8.63
333,600739,辽宁成大,11.83,4.23,0.48,188959.0,223475274.0,5.99,12.08,11.4,11.4,11.35,1.9,1.24,9.95,0.62,18096467123.0,18096467123.0,-0.08,-0.17,-4.37,5.81
334,300767,震安科技,19.47,4.23,0.79,94367.0,183523081.04,7.44,20.19,18.8,18.8,18.68,2.4,3.93,-45.83,3.54,5379386315.0,4670693911.0,-0.05,-0.05,-7.15,-6.39
335,603387,基蛋生物,10.16,4.21,0.41,657717.0,679406822.0,9.85,10.73,9.77,9.83,9.75,1.49,12.97,24.07,1.91,5152679733.0,5152679733.0,-0.2,-0.29,20.67,21.39
336,600234,科新发展,16.08,4.21,0.65,65784.0,106273825.0,7.91,16.58,15.36,15.48,15.43,2.0,2.51,101.82,8.44,4221337246.0,4221337246.0,0.06,0.12,28.74,25.14
337,601211,国泰海通,17.12,4.2,0.69,2118171.0,3625068364.0,4.08,17.36,16.69,16.69,16.43,2.89,1.57,10.85,0.94,301807210192.0,231067102504.0,-0.06,-0.06,-22.95,-16.69
338,301305,朗坤科技,26.29,4.2,1.06,72477.0,189889228.1,4.84,26.55,25.33,25.33,25.23,1.46,5.86,19.09,1.68,6341889483.0,3252426706.0,-0.11,-0.15,12.49,17.0
339,002552,宝鼎科技,18.42,4.19,0.74,87719.0,161657430.38,5.32,18.99,18.05,18.19,17.68,1.77,2.38,57.52,4.77,7146689797.0,6787830583.0,0.05,0.27,5.5,11.57
340,002979,雷赛智能,39.26,4.19,1.58,81120.0,315482353.18,4.99,39.78,37.9,37.91,37.68,1.97,3.68,57.75,7.5,12333169653.0,8665492915.0,0.03,0.03,-6.19,-6.68
341,301319,唯特偶,50.69,4.19,2.04,69947.0,353564097.92,7.98,51.88,48.0,49.57,48.65,1.99,7.48,68.04,5.38,6308415969.0,4741515379.0,0.04,0.04,-4.54,-8.57
342,688627,精智达,278.4,4.16,11.12,48570.0,1341432912.0,3.99,282.5,271.83,279.49,267.28,1.26,6.71,380.32,15.06,26172872314.0,20142709939.0,0.12,0.4,13.96,24.51
343,603429,*ST集友,10.81,4.14,0.43,76653.0,80962100.0,6.36,10.87,10.21,10.5,10.38,0.95,1.46,-311.44,4.48,5669687877.0,5669687877.0,0.0,-0.55,5.77,9.08
344,003008,开普检测,23.62,4.14,0.94,39191.0,92661480.2,4.76,24.29,23.21,23.25,22.68,2.38,5.04,27.85,2.31,2456480000.0,1835822078.0,-0.13,-0.25,9.45,9.61
345,688521,芯原股份,248.02,4.11,9.78,200267.0,4996164394.0,6.3,257.3,242.3,245.0,238.24,1.09,3.81,-247.13,38.16,130437506009.0,130437506009.0,-0.33,-0.04,62.91,81.08
346,002213,大为股份,33.84,4.09,1.33,667338.0,2253425473.19,7.87,34.94,32.38,33.09,32.51,2.25,32.31,-514.44,14.76,8036489693.0,6989891723.0,-0.27,-0.38,19.15,30.25
347,300419,ST浩丰,7.38,4.09,0.29,84661.0,61852701.0,5.08,7.44,7.08,7.08,7.09,1.49,2.3,-133.01,6.29,2714022823.0,2714022823.0,-0.14,-0.14,15.67,17.14
348,002550,千红制药,7.89,4.09,0.31,507661.0,398217336.84,7.65,8.09,7.51,7.58,7.58,1.26,5.39,19.76,3.67,10097622000.0,7426385020.0,0.25,0.38,-2.71,0.38
349,688131,皓元医药,75.51,4.08,2.96,50482.0,378561794.0,4.37,76.27,73.1,73.39,72.55,1.22,2.38,64.64,5.09,16015969113.0,16015969113.0,-0.03,-0.07,-3.2,4.76
350,603308,应流股份,71.5,4.08,2.8,213223.0,1530226625.0,6.9,73.8,69.06,70.07,68.7,1.17,3.14,123.89,9.89,48551463747.0,48551463747.0,0.0,-0.07,71.88,71.26
351,300450,先导智能,52.32,4.06,2.04,695134.0,3635627840.12,4.59,53.26,50.95,50.97,50.28,1.69,4.46,56.02,6.24,87595265427.0,81588559472.0,-0.1,-0.15,-5.03,4.68
352,600545,卓郎智能,4.11,4.05,0.16,2544432.0,1079732603.0,9.37,4.35,3.98,3.99,3.95,2.11,14.23,-23.07,2.3,7348319232.0,7348319232.0,0.0,-0.24,56.87,60.55
353,002144,宏达高科,15.19,4.04,0.59,67736.0,102863942.19,5.41,15.47,14.68,14.68,14.6,1.99,4.92,33.91,1.26,2685022800.0,2090816552.0,0.13,-0.13,22.5,19.7
354,603985,恒润股份,21.13,4.04,0.82,385928.0,801476523.0,5.42,21.2,20.1,20.38,20.31,0.82,8.75,111.58,2.85,9315329603.0,9315329603.0,0.0,-0.09,37.21,38.65
355,301379,天山电子,25.56,4.03,0.99,65248.0,166801570.59,5.98,26.18,24.71,24.71,24.57,2.18,5.13,34.03,3.58,5067115209.0,3251189928.0,-0.08,-0.08,-8.49,-1.12
356,300180,华峰超纤,6.2,4.03,0.24,668342.0,412032302.68,5.87,6.31,5.96,5.96,5.96,1.63,3.9,163.53,2.33,10918572961.0,10618548680.0,0.16,0.16,-7.46,-10.53
357,301222,浙江恒威,37.43,4.03,1.45,68506.0,255659221.04,9.09,38.88,35.61,35.95,35.98,2.33,8.58,45.95,2.62,3752043088.0,2987724360.0,0.16,0.29,30.65,31.24
358,301255,通力科技,27.44,4.02,1.06,59118.0,162779755.7,6.86,28.31,26.5,26.5,26.38,1.28,15.52,94.57,3.98,4179660800.0,1044915200.0,0.59,0.81,-4.85,-6.19
359,000973,佛塑科技,18.11,4.02,0.7,767702.0,1360881073.7,5.97,18.18,17.14,17.53,17.41,1.34,7.94,412.12,6.01,44518667832.0,17520033627.0,0.28,0.17,20.73,23.2
360,920592,华信永道,32.17,4.01,1.24,35423.0,115746102.2,8.34,33.85,31.27,31.66,30.93,1.75,7.04,-72.54,7.61,2599175150.0,1617691323.0,-0.03,0.06,-20.55,-18.29
361,002456,欧菲光,9.36,4.0,0.36,1840577.0,1735752308.32,8.67,9.81,9.03,9.05,9.0,3.16,5.55,755.8,7.84,31467315110.0,31047395521.0,0.11,0.21,-13.97,-11.86
362,603266,天龙股份,19.85,3.98,0.76,54095.0,106903321.0,5.19,20.09,19.1,19.12,19.09,2.5,2.72,35.8,2.51,3947901988.0,3947901988.0,-0.1,-0.25,-11.3,-12.79
363,300342,天银机电,55.45,3.98,2.12,623853.0,3400178747.61,8.44,56.39,51.89,54.6,53.33,0.92,14.9,1842.51,15.14,23568197016.0,23222396953.0,-0.04,-0.32,62.13,67.37
364,000776,广发证券,18.86,3.97,0.72,888625.0,1691254816.8,3.69,19.36,18.69,18.78,18.14,2.27,1.51,10.77,1.11,147576586337.0,111350370005.0,-0.11,-0.16,-18.57,-14.35
365,600777,*ST新潮,5.5,3.97,0.21,285328.0,155719388.0,4.16,5.54,5.32,5.38,5.29,0.79,0.45,21.08,1.59,37402727038.0,35013838151.0,0.0,0.0,42.12,43.23
366,000927,中国铁物,3.15,3.96,0.12,3168507.0,1012740222.05,7.26,3.33,3.11,3.13,3.03,1.34,5.24,33.09,1.96,19058613969.0,19058604330.0,0.32,0.32,19.77,20.69
367,603826,坤彩科技,27.54,3.96,1.05,135572.0,371877805.0,5.06,27.79,26.45,26.5,26.49,0.96,2.07,-194.24,10.05,18044208000.0,18044208000.0,-0.04,0.04,59.38,62.0
368,300465,高伟达,15.28,3.95,0.58,193610.0,294891600.63,4.9,15.55,14.83,14.83,14.7,1.98,4.36,236.29,9.95,6780490175.0,6780490175.0,0.07,0.07,-22.91,-24.09
369,300027,华谊兄弟,1.58,3.95,0.06,1187311.0,187901135.67,6.58,1.63,1.53,1.53,1.52,1.41,4.78,-28.87,16.66,4383719352.0,3926266483.0,-0.63,-0.63,-27.52,-27.19
370,300752,隆利科技,17.73,3.93,0.67,67138.0,119185823.0,5.22,18.07,17.18,17.32,17.06,1.61,4.27,65.59,3.32,4051286490.0,2788300472.0,-0.06,-0.17,-3.06,-2.85
371,301303,真兰仪表,15.9,3.92,0.6,54178.0,85652937.95,5.69,16.2,15.33,15.33,15.3,2.26,5.33,19.5,1.93,6499920000.0,1617583559.0,0.0,-0.06,3.79,5.02
372,600893,航发动力,51.48,3.92,1.94,462810.0,2380535107.0,4.16,52.08,50.02,50.03,49.54,1.05,1.74,216.33,3.41,137224791372.0,137200622542.0,0.06,0.14,20.82,28.6
373,002164,宁波东力,13.24,3.92,0.5,313711.0,418323077.27,8.71,13.85,12.74,12.8,12.74,2.88,6.54,90.4,4.92,7045979642.0,6352222893.0,0.08,0.15,-17.2,-17.3
374,920344,三元基因,21.81,3.91,0.82,17499.0,37864528.67,8.67,22.5,20.68,21.01,20.99,1.15,1.54,488.4,4.24,2656676100.0,2480411148.0,-0.27,-0.27,-10.36,-6.99
375,301002,崧盛股份,37.72,3.91,1.42,42827.0,162734818.81,7.66,38.98,36.2,36.89,36.3,1.57,5.04,552.93,5.91,5089811494.0,3205640839.0,-0.03,-0.11,-4.46,3.6
376,300073,当升科技,57.07,3.9,2.14,261214.0,1487807025.3,4.79,57.68,55.05,55.29,54.93,2.12,5.16,49.12,2.11,31062839633.0,28875782776.0,-0.11,-0.14,-6.34,-1.26
377,688048,长光华芯,239.0,3.89,8.95,215612.0,4997177915.0,13.51,249.88,218.8,229.0,230.05,1.6,12.23,2158.06,14.02,42130906377.0,42130906377.0,0.08,0.42,84.73,90.67
378,688359,三孚新科,83.5,3.89,3.13,35757.0,297566004.0,6.52,85.49,80.25,80.25,80.37,1.71,3.62,-167.05,13.94,8245303275.0,8245303275.0,-0.06,-0.31,20.54,25.32
379,300839,博汇股份,14.74,3.88,0.55,205019.0,301464772.34,7.05,14.99,13.99,14.24,14.19,0.72,7.08,-73.84,5.74,4347763096.0,4270016700.0,0.07,0.2,20.82,22.43
380,603758,秦安股份,12.84,3.88,0.48,54423.0,69612499.0,5.1,13.03,12.4,12.43,12.36,1.58,1.24,37.71,2.19,5634154109.0,5634154109.0,-0.08,-0.08,-25.0,-26.16
381,920405,海希通讯,20.96,3.87,0.78,17629.0,36918889.55,4.11,21.18,20.35,20.38,20.18,1.29,1.6,49.95,3.61,2939849600.0,2307282166.0,0.14,0.58,-26.97,-18.06
382,301237,和顺科技,56.57,3.86,2.1,12396.0,70236320.66,6.43,58.02,54.52,54.52,54.47,1.68,2.13,-24.9,3.94,4525600000.0,3295202500.0,0.04,0.09,2.24,-2.31
383,002537,海联金汇,8.1,3.85,0.3,782148.0,630599113.8,4.62,8.2,7.84,7.88,7.8,1.72,6.69,35.55,2.25,9509535635.0,9470517935.0,0.0,0.12,-7.95,-10.6
384,688322,奥比中光-UW,80.63,3.85,2.99,72217.0,584246891.0,4.87,82.79,79.01,79.24,77.64,1.64,2.27,254.5,10.87,32344260071.0,25694877487.0,0.01,0.04,-13.49,-10.08
385,000338,潍柴动力,26.98,3.85,1.0,1251822.0,3361003377.19,4.2,27.2,26.11,26.55,25.98,1.17,2.5,21.5,2.52,235060473650.0,134994241734.0,0.0,0.04,51.4,56.86
386,603766,隆鑫通用,15.38,3.85,0.57,212173.0,324668520.0,3.65,15.45,14.91,15.03,14.81,0.64,1.03,15.02,3.18,31583473653.0,31583473653.0,0.0,-0.06,-1.41,-3.33
387,300154,瑞凌股份,8.37,3.85,0.31,135049.0,113196621.0,6.7,8.62,8.08,8.15,8.06,2.01,4.29,29.15,2.11,3762777032.0,2637271084.0,0.0,0.0,-11.89,-15.03
388,301133,金钟股份,45.0,3.85,1.67,47388.0,212688606.0,4.38,45.5,43.6,43.83,43.33,0.85,4.26,157.44,4.73,5465998080.0,5001118605.0,0.2,-0.04,18.05,17.46
389,301075,多瑞医药,65.73,3.84,2.43,17542.0,116447367.1,8.63,68.32,62.86,64.31,63.3,1.41,2.19,-49.47,8.81,5258400000.0,5258400000.0,0.11,0.44,18.28,10.16
390,920223,荣亿精密,17.41,3.82,0.64,69021.0,119943933.71,7.45,17.98,16.73,16.74,16.77,2.73,8.46,-144.71,11.23,2738331850.0,1420373088.0,-0.29,-0.23,-25.31,-22.24
391,603567,珍宝岛,6.82,3.81,0.25,328716.0,224642640.0,9.13,7.14,6.54,6.57,6.57,2.1,3.5,-12.9,0.88,6417596232.0,6407666374.0,0.15,0.15,-25.63,-23.63
392,002741,光华科技,18.05,3.8,0.66,127330.0,229544611.56,4.37,18.25,17.49,17.5,17.39,1.12,2.99,80.78,4.33,8393652696.0,7695765781.0,-0.11,-0.11,-16.78,-10.02
393,300972,万辰集团,204.49,3.8,7.48,11576.0,234344968.28,4.27,208.0,199.58,201.66,197.01,1.01,0.66,29.09,26.04,39117584299.0,35851367160.0,0.48,0.45,-4.8,1.7
394,301487,盟固利,21.28,3.8,0.78,181202.0,386446153.4,4.44,21.72,20.81,20.9,20.5,2.18,6.64,906.66,5.19,9780637801.0,5805056405.0,0.0,0.05,-4.96,-2.96
395,300953,震裕科技,190.5,3.79,6.95,102769.0,1967139391.53,9.53,198.0,180.51,183.55,183.55,1.45,8.25,63.5,7.49,33047507756.0,23728331004.0,-0.16,-0.16,12.12,13.38
396,688819,天能股份,34.21,3.79,1.25,67631.0,230786512.0,4.61,34.51,32.99,33.1,32.96,1.82,0.7,20.9,1.95,33255541000.0,33255541000.0,-0.09,-0.06,1.88,2.98
397,002497,雅化集团,24.19,3.78,0.88,595147.0,1435572541.99,6.78,24.59,23.01,23.31,23.31,1.54,5.62,62.61,2.57,27880487359.0,25606356915.0,-0.04,-0.08,-0.53,-2.26
398,301345,涛涛车业,230.61,3.78,8.41,17448.0,400642708.32,4.35,231.88,222.22,224.43,222.2,1.09,4.98,30.81,6.95,25147806263.0,8078209725.0,0.11,0.31,-4.37,-8.24
399,002028,思源电气,210.33,3.77,7.65,125241.0,2630697894.21,3.89,212.88,204.99,205.0,202.68,1.29,2.05,51.94,10.61,164285989168.0,128189612877.0,-0.04,0.01,36.29,36.06
400,300196,长海股份,18.2,3.76,0.66,207057.0,378727908.92,4.9,18.64,17.78,17.94,17.54,2.0,8.39,22.79,1.57,7438673351.0,4494053564.0,0.05,0.05,22.48,25.0
401,920748,路桥信息,37.51,3.76,1.36,17754.0,66694673.57,7.16,38.8,36.21,36.3,36.15,1.54,4.98,-47.59,13.02,2878517400.0,1337832935.0,-0.24,-0.19,-16.61,-19.4
402,000977,浪潮信息,67.51,3.75,2.44,1160244.0,7835865368.7,6.02,69.2,65.28,65.77,65.07,2.0,7.91,50.17,4.72,99136858979.0,99025815088.0,-0.04,-0.12,0.13,1.37
403,603895,天永智能,27.65,3.75,1.0,17625.0,48652566.0,5.59,28.13,26.64,26.94,26.65,1.26,1.63,184.61,15.42,2988412000.0,2988412000.0,-0.07,-0.14,-8.38,-5.18
404,300206,理邦仪器,14.75,3.73,0.53,112715.0,166676112.0,5.13,15.03,14.3,14.35,14.22,1.21,3.33,27.97,3.9,8550034354.0,4991098584.0,-0.07,-0.14,10.4,15.32
405,300788,中信出版,32.0,3.73,1.15,73049.0,236384763.36,8.75,33.6,30.9,31.47,30.85,2.18,3.84,46.77,2.76,6084848480.0,6084848480.0,0.28,0.25,13.8,16.79
406,300347,泰格医药,57.88,3.73,2.08,163952.0,939557773.86,4.98,58.33,55.55,55.8,55.8,1.42,2.9,56.13,2.38,49836187774.0,32772478243.0,0.26,0.17,-4.01,2.08
407,603165,荣晟环保,15.62,3.72,0.56,162183.0,251072717.0,6.77,16.05,15.03,15.2,15.06,1.31,5.06,22.37,2.0,5005350556.0,5005350556.0,0.06,0.0,26.38,27.2
408,000609,ST中迪,8.67,3.71,0.31,101160.0,86492868.0,5.38,8.78,8.33,8.37,8.36,1.21,3.48,-12.86,-304.65,2594632076.0,2523475218.0,-0.23,-0.23,-4.09,-2.58
409,301317,鑫磊股份,56.93,3.7,2.03,61982.0,353823527.5,7.14,58.5,54.58,55.5,54.9,1.35,11.87,17.69,6.65,8948826700.0,2971560010.0,0.04,-0.04,73.83,76.58
410,002992,宝明科技,51.87,3.7,1.85,24204.0,123994281.99,3.62,51.99,50.18,50.7,50.02,1.38,1.53,-1400.42,12.8,9381656097.0,8197508969.0,-0.1,-0.15,7.57,8.95
411,002193,如意集团,6.44,3.7,0.23,157989.0,99814236.0,5.64,6.49,6.14,6.3,6.21,1.21,6.04,-10.54,3.08,1685448142.0,1685438482.0,0.0,0.16,26.03,21.05
412,002736,国信证券,11.78,3.7,0.42,619378.0,733718637.8,4.23,12.03,11.55,11.56,11.36,2.94,0.64,9.9,1.24,120647733247.0,113234418061.0,0.08,-0.08,-13.89,-9.52
413,688400,凌云光,47.74,3.69,1.7,291888.0,1400735323.0,6.49,49.55,46.56,47.0,46.04,1.84,6.33,142.23,5.17,22878459057.0,22007029233.0,-0.25,-0.15,2.73,12.65
414,002460,赣锋锂业,84.0,3.69,2.99,1034830.0,8699175357.98,7.09,86.99,81.25,81.74,81.01,1.5,8.54,109.19,3.9,176122329936.0,101742315192.0,0.33,0.33,26.35,33.57
415,000526,学大教育,33.01,3.67,1.17,36478.0,120425466.43,5.68,33.66,31.85,32.0,31.84,1.63,3.05,13.05,4.03,4022635208.0,3943356742.0,0.0,0.0,-14.79,-15.83
416,688166,博瑞医药,53.06,3.67,1.88,117970.0,622713591.0,4.77,53.74,51.3,51.46,51.18,0.86,2.79,411.81,9.13,22449922329.0,22449922329.0,0.02,0.02,-1.47,8.15
417,002397,梦洁股份,3.95,3.67,0.14,221502.0,88111704.27,7.35,4.12,3.84,3.88,3.81,1.6,3.42,86.74,2.48,2953736700.0,2559055271.0,0.0,0.25,-1.0,-1.99
418,300409,道氏技术,26.6,3.66,0.94,362649.0,969886330.61,4.52,27.11,25.95,25.95,25.66,1.92,5.27,37.56,2.59,20807822150.0,18287224477.0,-0.11,-0.19,-14.61,18.27
419,301095,广立微,72.5,3.65,2.55,68126.0,491307237.52,5.08,74.15,70.6,70.72,69.95,1.4,3.9,294.2,4.63,14520378880.0,12651564288.0,0.1,0.12,-7.44,1.1
420,300048,合康新能,6.81,3.65,0.24,324494.0,221111335.39,4.57,6.92,6.62,6.62,6.57,1.45,2.88,123.91,4.22,7683705001.0,7667956025.0,0.0,-0.15,9.13,14.45
421,600072,中船科技,12.48,3.65,0.44,402420.0,505231765.0,7.39,12.92,12.03,12.03,12.04,1.99,3.71,-9.8,1.93,18728108368.0,13520049704.0,0.0,-0.24,6.76,7.4
422,920971,天马新材,26.17,3.64,0.92,20603.0,53440823.42,4.87,26.55,25.32,25.32,25.25,1.73,2.4,72.06,5.89,2750153012.0,2242842328.0,-0.08,-0.04,-17.73,-14.76
423,301617,博苑股份,57.52,3.64,2.02,29002.0,167484168.6,5.82,59.25,56.02,56.02,55.5,1.76,5.47,43.52,4.55,7686972800.0,3050860800.0,-0.07,0.0,-31.28,-26.04
