symbol,code,name,change_date,total_shares
sh600323,600323,瀚蓝环境,2025-06-30,815347146.0000001
sh600325,600325,华发股份,2025-10-28,2752152116.0
sh600326,600326,西藏天路,2025-10-27,1362464423.0
sh600327,600327,大东方,2025-06-30,884779518.0
sh600328,600328,中盐化工,2025-12-22,1466309533.0
sh600329,600329,达仁堂,2025-06-30,770094356.0
sh600330,600330,天通股份,2025-06-30,1233434416.0
sh600331,600331,宏达股份,2025-12-31,2641600000.0
sh600332,600332,白云山,2025-12-31,1625790949.0
sh600333,600333,长春燃气,2025-06-30,609030684.0
sh600335,600335,国机汽车,2025-06-30,1495788691.9999998
sh600336,600336,澳柯玛,2025-06-30,798014769.0
sh600337,600337,美克家居,2025-06-30,1436998137.0
sh600338,600338,西藏珠峰,2025-06-30,914210168.0
sh600339,600339,中油工程,2025-06-30,5583147471.0
sh600340,600340,华夏幸福,2025-06-30,3913720342.0
sh600343,600343,航天动力,2025-06-30,638206348.0
sh600345,600345,长江通信,2025-06-30,329612132.0
sh600346,600346,恒力石化,2025-06-30,7039099786.0
sh600348,600348,华阳股份,2025-06-30,3607500000.0
sh600350,600350,山东高速,2025-07-23,4834570825.0
sh600351,600351,亚宝药业,2025-11-18,692000046.0
sh600352,600352,浙江龙盛,2025-06-30,3253331860.0
sh600353,600353,旭光电子,2025-12-31,829976239.0
sh600354,600354,敦煌种业,2025-06-30,527802080.0
sh600356,600356,恒丰纸业,2026-03-04,329536504.0
sh600359,600359,新农开发,2025-06-30,381512820.0
sh600361,600361,创新新材,2026-03-12,3732662913.0
sh600362,600362,江西铜业,2025-12-31,3462729405.0000005
sh600363,600363,联创光电,2025-11-12,450888450.0
sh600366,600366,宁波韵升,2025-11-24,1099041051.0
sh600367,600367,红星发展,2025-06-30,341130902.0
sh600368,600368,五洲交通,2025-06-30,1609653858.0
sh600369,600369,西南证券,2025-07-22,6645109124.0
sh600370,600370,三房巷,2026-01-22,3896680716.9999995
sh600371,600371,万向德农,2025-06-30,292578000.0
sh600372,600372,中航机载,2025-12-31,4838896630.0
sh600373,600373,中文传媒,2026-02-05,1347358719.0
sh600375,600375,汉马科技,2026-01-15,1603071367.0
sh600376,600376,首开股份,2025-06-30,2579565242.0
sh600377,600377,宁沪高速,2025-06-30,5037747500.0
sh600378,600378,昊华科技,2025-07-08,1289999620.0
sh600379,600379,宝光股份,2025-06-30,330201564.0
sh600380,600380,健康元,2025-06-30,1829453386.0
sh600382,600382,广东明珠,2025-09-02,694408089.0
sh600383,600383,金地集团,2025-06-30,4514583572.0
sh600386,600386,北巴传媒,2025-06-30,806400000.0
sh600388,600388,龙净环保,2025-12-31,1270046293.0
sh600389,600389,江山股份,2025-06-30,430650000.0
sh600390,600390,五矿资本,2025-06-30,4498065459.0
sh600391,600391,航发科技,2025-06-30,330129367.0
sh600392,600392,盛和资源,2025-06-30,1752826570.0
sh600395,600395,盘江股份,2025-06-30,2146624894.0
sh600396,600396,华电辽能,2025-06-30,1472706816.9999998
sh600397,600397,江钨装备,2025-06-30,989959882.0000001
sh600398,600398,海澜之家,2025-12-31,4802770296.0
sh600399,600399,抚顺特钢,2025-06-30,1972100000.0
sh600400,600400,红豆股份,2025-06-30,2291371852.0
sh600403,600403,大有能源,2025-06-30,2390812402.0
sh600405,600405,动力源,2025-06-30,612829588.0
sh600406,600406,国电南瑞,2026-03-24,8031756156.0
sh600408,600408,安泰集团,2025-06-30,1006800000.0
sh600409,600409,三友化工,2025-06-30,2064349448.0
sh600410,600410,华胜天成,2025-06-30,1096494683.0
sh600415,600415,小商品城,2025-11-05,5483559226.000001
sh600416,600416,湘电股份,2026-03-23,1475782384.0
sh600418,600418,江淮汽车,2026-02-12,2254178195.0
sh600419,600419,天润乳业,2025-12-31,315511881.0
sh600420,600420,国药现代,2025-12-31,1341172692.0
sh600422,600422,昆药集团,2025-12-31,756975757.0
sh600423,600423,柳化股份,2025-06-30,798695026.0000001
sh600425,600425,青松建化,2026-02-11,1604703707.0
sh600426,600426,华鲁恒升,2026-02-02,2123186662.0
sh600428,600428,中远海特,2025-12-31,2743920395.0
sh600429,600429,三元股份,2025-11-07,1502089065.0
sh600433,600433,冠豪高新,2025-12-31,1750279233.0
sh600435,600435,北方导航,2025-12-31,1512357749.0
sh600436,600436,片仔癀,2025-06-30,603317210.0
sh600438,600438,通威股份,2025-12-31,4501990089.0
sh600439,600439,瑞贝卡,2025-06-30,1131985440.0
sh600444,600444,国机通用,2025-06-30,146421932.0
sh600446,600446,金证股份,2025-08-22,941267479.0
sh600448,600448,华纺股份,2025-06-30,629819662.0
sh600449,600449,宁夏建材,2025-12-31,478181042.0
sh600452,600452,涪陵电力,2025-06-30,1536541654.0
sh600455,600455,博通股份,2025-06-30,62458000.0
sh600456,600456,宝钛股份,2025-06-30,477777539.00000006
sh600458,600458,时代新材,2026-01-16,930753520.0
sh600459,600459,贵研铂业,2025-12-10,759807126.0
sh600460,600460,士兰微,2025-06-30,1664071845.0
sh600461,600461,洪城环境,2025-12-31,1284155382.0
sh600463,600463,空港股份,2025-06-30,300000000.0
sh600467,600467,好当家,2025-06-30,1460994304.0000002
sh600468,600468,百利电气,2025-06-30,1087735321.0
sh600469,600469,风神股份,2026-02-12,890034812.0
sh600470,600470,六国化工,2025-06-30,521600000.0
sh600475,600475,华光环能,2025-07-14,955965729.0
sh600476,600476,湘邮科技,2025-06-30,161070000.0
sh600477,600477,杭萧钢构,2026-01-26,2358968436.0
sh600478,600478,科力远,2025-06-30,1665540916.0000002
sh600479,600479,千金药业,2025-10-23,492210016.00000006
sh600480,600480,凌云股份,2026-03-24,1222284427.0
sh600481,600481,双良节能,2026-02-13,2064161830.0
sh600482,600482,中国动力,2026-03-10,2268246368.0
sh600483,600483,福能股份,2025-06-30,2780137800.0000005
sh600486,600486,扬农化工,2026-01-05,405325293.0
sh600487,600487,亨通光电,2026-03-20,2466392257.0
sh600488,600488,津药药业,2025-06-30,1091886680.0
sh600489,600489,中金黄金,2025-06-30,4847312564.0
sh600490,600490,鹏欣资源,2025-06-30,2212887079.0
sh600491,600491,龙元建设,2025-06-30,1529757955.0
sh600493,600493,凤竹纺织,2025-06-30,272000000.0
sh600495,600495,晋西车轴,2025-06-30,1208190886.0
sh600496,600496,精工钢构,2025-12-31,1990124965.0
sh600497,600497,驰宏锌锗,2025-12-31,5040380483.0
sh600498,600498,烽火通信,2025-12-19,1358167482.0
sh600499,600499,科达制造,2025-12-31,1917856391.0
sh600500,600500,中化国际,2026-03-10,3588306303.0
sh600501,600501,航天晨光,2025-12-02,427824200.0
sh600502,600502,安徽建工,2025-12-31,1716533938.0
sh600503,600503,华丽家族,2025-06-30,1602290000.0
sh600505,600505,西昌电力,2025-06-30,364567500.0
sh600506,600506,统一股份,2025-12-31,192018934.0
sh600507,600507,方大特钢,2025-12-31,2313187890.0
sh600508,600508,上海能源,2025-12-31,722718000.0
sh600509,600509,天富能源,2025-06-30,1374397407.0
