date,return_raw,return,holding,next_holding,signal_on,microcap_ret,microcap_mom,hedge_ret,hedge_mom,momentum_gap,entry_exit_cost,rebalance_cost,total_cost,return_net,nav_net
2015-05-25,0.0211191067400537,0.0211191067400537,long_microcap,long_microcap,True,0.0211191067400537,0.4456202661238699,0.0150213323727919,0.2649558125394751,0.1806644535843948,0.0,0.0,0.0,0.021119106740053795,10.644738696372844
2015-05-26,0.0452987603554124,0.0452987603554124,long_microcap,long_microcap,True,0.0452987603554124,0.4824236064105183,0.0406464733686549,0.3048822166808016,0.1775413897297166,0.0,0.0,0.0,0.04529876035541247,11.126932163625824
2015-05-27,0.0212205102677154,0.0212205102677154,long_microcap,long_microcap,True,0.0212205102677154,0.5279912563569416,0.0135240510069538,0.3572682659706392,0.1707229903863023,0.0,0.0,0.0,0.02122051026771543,11.363051341852218
2015-05-28,-0.0403369080662334,-0.0403369080662334,long_microcap,long_microcap,True,-0.0403369080662334,0.4603203405137117,-0.0562162480535687,0.2852419142188833,0.1750784262948284,0.0,0.0,0.0,-0.04033690806623336,10.904700984524036
2015-05-29,0.0203459413950668,0.0203459413950668,long_microcap,long_microcap,True,0.0203459413950668,0.514663333960448,0.0162430893541534,0.3284246893135274,0.1862386446469206,0.0,0.0,0.0,0.020345941395066847,11.126567391685889
2015-06-01,0.0486575526864072,0.0486575526864072,long_microcap,long_microcap,True,0.0486575526864072,0.5150313347270634,0.0509671679507739,0.3325543731105917,0.1824769616164716,0.0,0.0,0.0,0.04865755268640726,11.667958930765705
2015-06-02,0.0457664219250868,0.0457664219250868,long_microcap,long_microcap,True,0.0457664219250868,0.5049300729937547,0.0427392253547358,0.3253642441898245,0.1795658288039301,0.0,0.0,0.0,0.04576642192508684,12.201959662195714
2015-06-03,0.0104905929104086,0.0104905929104086,long_microcap,long_microcap,True,0.0104905929104086,0.4676202178972914,0.0056232978806864,0.2990717038428512,0.1685485140544402,0.0,0.0,0.0,0.010490592910408658,12.329965453721037
2015-06-04,-0.0102592661352697,-0.0102592661352697,long_microcap,long_microcap,True,-0.0102592661352697,0.4270880625636117,-0.0033399272808325,0.2847503434405107,0.142337719123101,0.0,0.0012,0.0012,-0.011446955015907423,12.1888248938246
2015-06-05,0.0178480044458142,0.0178480044458142,long_microcap,long_microcap,True,0.0178480044458142,0.4144668245946235,0.0109793726172631,0.290306035982196,0.1241607886124274,0.0,0.0,0.0,0.017848004445814247,12.406371094718834
2015-06-08,-0.0037891736783688,-0.0037891736783688,long_microcap,long_microcap,True,-0.0037891736783688,0.3785280049752222,-0.025302524929575,0.2568923143574615,0.1216356906177607,0.0,0.0,0.0,-0.00378917367836884,12.359361199922649
2015-06-09,0.0045773848265198,0.0045773848265198,long_microcap,long_microcap,True,0.0045773848265198,0.3227475420263386,0.0004610017354942,0.2221354879625168,0.1006120540638217,0.0,0.0,0.0,0.004577384826519815,12.415934752344652
