date,A_1_100,B_101_200,C_201_300,D_301_400
2017-08-11,280362.1816063462,8894.586426698248,5072.46848101014,2442.278692752391
2017-08-14,286419.89856043673,9084.396904884172,5182.30003620398,2495.7777145354917
2017-08-15,290093.1796370184,9177.854413192126,5215.655301350939,2516.8343825335764
2017-08-16,295619.8440441034,9347.358685316123,5269.007160531719,2546.240673225994
2017-08-17,297886.2356321858,9415.753223121867,5303.677771590365,2569.9630291636026
2017-08-18,295576.3424778485,9377.055825176794,5268.054929365272,2557.0388980531393
2017-08-21,303010.9892532832,9522.38373809005,5334.281917993978,2580.2832399456984
2017-08-22,301026.045768676,9468.332595214268,5303.686684914331,2565.815587097971
2017-08-23,304750.53508571564,9504.016879414477,5323.566693260698,2565.462585428681
2017-08-24,303006.2796882961,9434.487958078565,5283.781479268542,2551.85553211952
2017-08-25,311129.6725046656,9632.141371955315,5384.940460460747,2592.0290024542333
2017-08-28,321759.9660611227,9854.643374525545,5505.326820681541,2640.738279420475
2017-08-29,323096.4306657707,9848.50905813529,5508.521521587568,2640.9206001047532
2017-08-30,321699.9901470367,9803.043682974618,5481.291629548215,2645.9919349988304
2017-08-31,331611.63437699794,9991.001981908992,5584.276463741638,2680.561464562207
2017-09-01,332551.9165216548,10023.619192354292,5627.7451062676755,2688.903044914115
2017-09-04,334055.2474783417,9989.630320383601,5651.202763234359,2696.718281289547
2017-09-05,336522.0753934549,10032.661328662925,5702.1530504831335,2704.222034073393
2017-09-06,338342.8218317038,10064.347329203647,5730.911739973942,2711.7098719504206
2017-09-07,338613.73368817073,10069.026014048286,5728.536850521357,2709.812837598179
2017-09-08,339711.7826968662,10071.180627645801,5771.433979692935,2726.0097773508965
2017-09-11,344716.8828382044,10252.554198818654,5859.368205760792,2767.208088063134
2017-09-12,340279.69412087934,10098.91728243614,5758.149742008571,2750.1763729841346
2017-09-13,344423.4483615227,10204.688163269433,5797.068149495196,2773.2843295497846
2017-09-14,344365.38877688546,10193.088747519963,5798.507423699009,2767.4234357639357
2017-09-15,342833.3777734552,10106.660004188952,5765.4433108226585,2759.0847932978045
2017-09-18,345211.37780635315,10184.55054092936,5789.068770753732,2783.670042280447
2017-09-19,346214.3675018703,10226.305280338664,5804.755079322162,2775.424799233126
2017-09-20,350619.3907898633,10363.90707865353,5877.781789611045,2809.4832741668033
2017-09-21,348804.1578592364,10259.03358758851,5835.026405175326,2780.07487062726
2017-09-22,351697.514859451,10362.41183631375,5827.6949974571935,2793.831971162867
2017-09-25,346285.10821600637,10289.643753597324,5773.95734946681,2754.9142711188897
2017-09-26,340569.8750373503,10092.879819216902,5717.498136145855,2724.6528441221753
