date,return_raw,holding,next_holding,signal_on,microcap_ret,hedge_ret,microcap_mom,hedge_mom,momentum_gap,hedge_ratio,futures_drag,weight,realized_vol,scale_raw,return,nav,entry_exit_cost,rebalance_cost,total_cost,return_net,nav_net
2022-08-30,0.012596091644750278,long_microcap_short_zz1000,long_microcap_short_zz1000,True,0.007150491564423378,-0.006350666755918777,0.02944712693906948,-0.027785248553882202,0.05723237549295168,0.9,0.00027,1.0,,,0.012596091644750278,98762182.63510653,0.0,0.0,0.0,0.012596091644750285,48787165.2654089
2022-08-31,0.011041634973930708,long_microcap_short_zz1000,long_microcap_short_zz1000,True,-0.017839886084675682,-0.0323905789540071,-0.002903664788895699,-0.0633598801232067,0.060456215334311,0.9,0.00027,1.0,,,0.011041634973930708,99852678.60499205,0.0,0.0,0.0,0.011041634973930625,49325855.33568238
2022-09-01,0.009100874290537724,long_microcap_short_zz1000,long_microcap_short_zz1000,True,0.004886032628734771,-0.00498315740200328,-0.0077090432329340874,-0.06863207285554229,0.060923029622608205,0.9,0.00027,1.0,,,0.009100874290537724,100761425.28054954,0.0,0.0,0.0,0.00910087429053763,49774763.74436567
2022-09-02,0.010818696838701307,long_microcap_short_zz1000,long_microcap_short_zz1000,True,0.019091704088853856,0.008892230277947277,0.002163127124959807,-0.07096589343463355,0.07312902055959336,0.9,0.00027,1.0,,,0.010818696838701307,101851532.59369527,0.0,0.0,0.0,0.010818696838701403,50313261.823533945
2022-09-05,0.007203962375934628,long_microcap_short_zz1000,long_microcap_short_zz1000,True,0.009367768181893998,0.0021042286732881887,0.010032832122131241,-0.06055475090713158,0.07058758302926282,0.9,0.00027,1.0,,,0.007203962375934628,102585267.20243151,0.0,0.0,0.0,0.0072039623759345695,50675716.66872123
2022-09-06,-0.019922349572936444,long_microcap_short_zz1000,long_microcap_short_zz1000,True,-0.002614731164109596,0.01893068712091872,0.006547503266013166,-0.04995537859545551,0.05650288186146868,0.9,0.00027,1.0,,,-0.019922349572936444,100541527.64819157,0.0,0.0,0.0,-0.019922349572936482,49666137.32638788
2022-09-07,-0.009830038736441022,long_microcap_short_zz1000,long_microcap_short_zz1000,True,-0.003854114303846745,0.006339916036215865,-0.011908710742760342,-0.04929948584363408,0.03739077510087374,0.9,0.00027,1.0,,,-0.009830038736441022,99553200.53678888,0.0,0.0012,0.0012,-0.011018242689957325,49118903.77185299
2022-09-08,-0.0021456658271029124,long_microcap_short_zz1000,long_microcap_short_zz1000,True,-0.010460117368851884,-0.009538279490832191,-0.025589051429752985,-0.058887901897615724,0.03329885046786274,0.9,0.00027,1.0,,,-0.0021456658271029124,99339592.63641836,0.0,0.0,0.0,-0.0021456658271029605,49013511.01856497
2022-09-09,-0.009392517465482583,long_microcap_short_zz1000,long_microcap_short_zz1000,True,-0.006972048427771216,0.0023894100419015185,-0.032909322855191325,-0.05956111999825875,0.026651797143067424,0.9,0.00027,1.0,,,-0.009392517465482583,98406543.77756688,0.0,0.0,0.0,-0.00939251746548253,48553150.76027848
2022-09-13,0.016255633070975675,long_microcap_short_zz1000,long_microcap_short_zz1000,True,0.015288936598236491,-0.0013741071919324277,-0.009647230262019857,-0.04566094539844989,0.036013715136430036,0.9,0.00027,1.0,,,0.016255633070975675,100006204.44499792,0.0,0.0,0.0,0.016255633070975772,49342412.963477336
2022-09-14,0.005866042630837435,long_microcap_short_zz1000,long_microcap_short_zz1000,True,-0.0035782132874021544,-0.010793617686932877,-0.01476800102689424,-0.0629779737616929,0.048209972734798656,0.9,0.00027,1.0,,,0.005866042630837435,100592845.10362053,0.0,0.0,0.0,0.005866042630837454,49631857.66142948
2022-09-15,0.0077679778614869665,long_microcap_short_zz1000,long_microcap_short_zz1000,True,-0.01968459870274275,-0.03080286284914413,-0.03502348587643245,-0.09400877632418203,0.05898529044774958,0.9,0.00027,1.0,,,0.0077679778614869665,101374248.09740944,0.0,0.0,0.0,0.007767977861486974,50017396.83296794
2022-09-16,-0.012944707343169742,long_microcap_short_zz1000,long_microcap_short_zz1000,True,-0.031431534084810364,-0.02084091860182291,-0.041119477440097585,-0.07929215658698674,0.038172679146889155,0.9,0.00027,1.0,,,-0.012944707343169742,100061988.12365459,0.0,0.0,0.0,-0.01294470734316977,49369936.26889798
2022-09-19,-0.009845503694798015,long_microcap_short_zz1000,long_microcap_short_zz1000,True,-0.020884450748139605,-0.0125654967259351,-0.05493590851813912,-0.08786812441297498,0.03293221589483586,0.9,0.00027,1.0,,,-0.009845503694798015,99076827.44987431,0.0,0.0,0.0,-0.009845503694797975,48883864.3789506
2022-09-20,0.005754472156850447,long_microcap_short_zz1000,long_microcap_short_zz1000,True,0.017602490219915,0.012864464514516172,-0.02835639025652703,-0.07135202817119335,0.04299563791466632,0.9,0.00027,1.0,,,0.005754472156850447,99646962.2948237,0.0,0.0,0.0,0.005754472156850543,49165165.21543853
2022-09-21,0.011331210046485034,long_microcap_short_zz1000,long_microcap_short_zz1000,True,0.011388779873069854,-0.00023603352601686556,-0.03373532789492106,-0.07700984574103698,0.04327451784611591,0.9,0.00027,1.0,,,0.011331210046485034,100776082.95508054,0.0,0.001,0.001,0.010319878836438479,49672543.763435334
2022-09-22,-0.004537384757599402,long_microcap_short_zz1000,long_microcap_short_zz1000,True,-0.0033410816375178953,0.0010292256889794515,-0.0438009900027686,-0.07015474320310977,0.026353753200341168,0.9,0.00027,1.0,,,-0.004537384757599402,100318823.09234959,0.0,0.0,0.0,-0.00453738475759935,49447160.32049193
2022-09-23,-0.010244362075152197,long_microcap_short_zz1000,long_microcap_short_zz1000,True,-0.027120403476234678,-0.019051157112313866,-0.05283619863763678,-0.05733593650473867,0.004499737867101894,0.9,0.00027,1.0,,,-0.010244362075152197,99291120.74563842,0.0,0.0,0.0,-0.010244362075152225,48940605.70658071
2022-09-26,-0.018534432334988686,long_microcap_short_zz1000,cash,False,-0.029591368950280472,-0.01258548512810198,-0.0853331641445122,-0.06453826800256068,-0.020794896141951513,0.9,0.00027,1.0,,,-0.018534432334988686,97450816.18671319,0.0,0.0,0.0,-0.018534432334988638,48033519.361678734
2022-09-27,0.0,cash,cash,False,0.03083254322589757,0.02008246877978981,-0.07479539198850249,-0.05416249190255629,-0.020632900085946204,0.0,0.0,1.0,,,0.0,97450816.18671319,0.003,0.0,0.003,-0.0030000000000000027,47889418.803593695
2022-09-28,0.0,cash,cash,False,-0.012380741783644456,-0.030994823535285154,-0.09473046646957528,-0.08540307962344784,-0.009327386846127439,0.0,0.0,1.0,,,0.0,97450816.18671319,0.0,0.0,0.0,0.0,47889418.803593695
2022-09-29,0.0,cash,cash,False,-0.008822054413645142,0.0028449021189449475,-0.10036449857147134,-0.09984175500205938,-0.0005227435694119542,0.0,0.0,1.0,,,0.0,97450816.18671319,0.0,0.0,0.0,0.0,47889418.803593695
2022-09-30,0.0,cash,long_microcap_short_zz1000,True,-0.011759034891709708,-0.016683844990511787,-0.10750356052909293,-0.12043621616653655,0.012932655637443613,0.0,0.0,1.0,,,0.0,97450816.18671319,0.0,0.0,0.0,0.0,47889418.803593695
2022-10-10,-0.004494821689522384,long_microcap_short_zz1000,long_microcap_short_zz1000,True,-0.024849619644087828,-0.022916442171739382,-0.12048189497707773,-0.13231648083977332,0.01183458586269559,0.9,0.00027,1.0,,,-0.004494821689522384,97012792.14445549,0.003,0.0,0.003,-0.007481337224453877,47531141.91204091
2022-10-11,-0.004367315709324124,long_microcap_short_zz1000,long_microcap_short_zz1000,True,0.0008985903814102691,0.005551006767482658,-0.11351092369695293,-0.12957975462784832,0.016068830930895395,0.9,0.00027,1.0,,,-0.004367315709324124,96589106.65331762,0.0,0.0008,0.0008,-0.0051638218567566785,47285699.56255891
2022-10-12,0.006219896207665425,long_microcap_short_zz1000,long_microcap_short_zz1000,True,0.03265213040932302,0.029069149112952886,-0.09835042988242038,-0.10304486622402986,0.004694436341609487,0.9,0.00027,1.0,,,0.006219896207665425,97189880.87149237,0.0,0.0,0.0,0.006219896207665387,47579811.70594487
2022-10-13,0.012893153469665656,long_microcap_short_zz1000,long_microcap_short_zz1000,True,0.021820674886183777,0.00961946824057569,-0.07536729471961645,-0.0845354605567562,0.009168165837139752,0.9,0.00027,1.0,,,0.012893153469665656,98442964.92126705,0.0,0.0,0.0,0.012893153469665686,48193265.52032742
2022-10-14,-0.00695039604253692,long_microcap_short_zz1000,cash,False,0.01552227756779656,0.024669637344814976,-0.04216019707795704,-0.032138373426355726,-0.010021823651601314,0.9,0.00027,1.0,,,-0.00695039604253692,97758747.32746267,0.0,0.0,0.0,-0.006950396042536888,47858303.238378
2022-10-17,0.0,cash,long_microcap_short_zz1000,True,0.029483648095119053,0.010300540392041757,0.018080238314550412,-0.0013562219575266043,0.019436460272077016,0.0,0.0,1.0,,,0.0,97758747.32746267,0.003,0.0,0.003,-0.0030000000000000027,47714728.32866287
2022-10-18,-0.00446986248871791,long_microcap_short_zz1000,long_microcap_short_zz1000,True,0.0008129224690647252,0.005569761064202927,0.04064107591196131,0.01698490577830558,0.02365617013365573,0.9,0.00027,1.0,,,-0.00446986248871791,97321779.16983959,0.003,0.0,0.003,-0.007456452901251742,47358945.704184175
2022-10-19,-0.0014634735974580948,long_microcap_short_zz1000,long_microcap_short_zz1000,True,-0.007741065208428433,-0.007275101789967042,0.01472374076207772,-0.003236590441722198,0.017960331203799917,0.9,0.00027,1.0,,,-0.0014634735974580948,97179351.31556688,0.0,0.0006,0.0006,-0.002062595513299681,47261263.35526012
2022-10-20,0.006079249614894303,long_microcap_short_zz1000,long_microcap_short_zz1000,True,0.0019684505311399203,-0.00486755453750487,0.0052723487560744076,-0.007854211029842961,0.013126559785917369,0.9,0.00027,1.0,,,0.006079249614894303,97770128.84962772,0.0,0.0,0.0,0.006079249614894255,47548576.372312
2022-10-21,0.0081185560375627,long_microcap_short_zz1000,long_microcap_short_zz1000,True,0.00875669140935309,0.00040903930198932237,0.017474674447924388,-0.008468893694882462,0.02594356814280685,0.9,0.00027,1.0,,,0.0081185560375627,98563881.11949316,0.0,0.0,0.0,0.00811855603756273,47934602.154096946
2022-10-24,-0.011774395771092445,long_microcap_short_zz1000,long_microcap_short_zz1000,True,-0.01904598645440625,-0.008379545203682004,0.025919208447811926,0.0023178412490885147,0.02360136719872341,0.9,0.00027,1.0,,,-0.011774395771092445,97403350.97445734,0.0,0.0,0.0,-0.011774395771092405,47370201.17720475
2022-10-25,-0.009692507912148025,long_microcap_short_zz1000,long_microcap_short_zz1000,True,-0.012618435436632991,-0.003551030582761072,0.043863049792795206,0.011488655370576417,0.03237439442221879,0.9,0.00027,1.0,,,-0.009692507912148025,96459268.22446768,0.0,0.0,0.0,-0.00969250791214804,46911065.12749465
2022-10-26,0.008945950308041808,long_microcap_short_zz1000,long_microcap_short_zz1000,True,0.028461267169229476,0.02138368540131963,0.04146179900508917,0.012778909728571097,0.028682889276518075,0.9,0.00027,1.0,,,0.008945950308041808,97322188.04475385,0.0,0.0,0.0,0.008945950308041795,47330729.185022525
2022-10-27,0.01260997661313185,long_microcap_short_zz1000,long_microcap_short_zz1000,True,0.008709722026113642,-0.004633616207798008,0.06370206234384912,0.040330955336485674,0.023371107007363445,0.9,0.00027,1.0,,,0.01260997661313185,98549418.55993702,0.0,0.0,0.0,0.01260997661313179,47927568.573128134
2022-10-28,-0.008925337108230309,long_microcap_short_zz1000,long_microcap_short_zz1000,True,-0.03953185240395374,-0.034307239217470475,0.030745240007442165,0.0017900776717110212,0.028955162335731144,0.9,0.00027,1.0,,,-0.008925337108230309,97669831.77746949,0.0,0.0,0.0,-0.008925337108230291,47499798.86683514
2022-10-31,0.013219009627446435,long_microcap_short_zz1000,long_microcap_short_zz1000,True,0.02108861411018892,0.008444004980824982,0.06500566742296843,0.027390013812560676,0.03761565361040775,0.9,0.00027,1.0,,,0.013219009627446435,98960930.22404693,0.0,0.0,0.0,0.013219009627446487,48127699.165357605
2022-11-01,-0.001020898478968965,long_microcap_short_zz1000,long_microcap_short_zz1000,True,0.020302335309182906,0.02339248198683541,0.11431815182451177,0.07608321497201098,0.03823493685250079,0.9,0.00027,1.0,,,-0.001020898478968965,98859901.16090386,0.0,0.0,0.0,-0.0010208984789689124,48078565.67048342
2022-11-02,-0.00043750829896821154,long_microcap_short_zz1000,long_microcap_short_zz1000,True,0.011668381524039262,0.013150988692230525,0.12630835130817486,0.08421628124937675,0.042092070058798114,0.9,0.00027,1.0,,,-0.00043750829896821154,98816649.13371079,0.0,0.0008,0.0008,-0.0012371582923289548,48019084.8742809
2022-11-03,-0.0033907694697012125,long_microcap_short_zz1000,long_microcap_short_zz1000,True,0.002718289708689259,0.006487843531544968,0.09365966568111062,0.060424858501610945,0.03323480717949967,0.9,0.00027,1.0,,,-0.0033907694697012125,98481584.65673003,0.0,0.0,0.0,-0.0033907694697011825,47856263.2273262
2022-11-04,-0.007153828405000726,long_microcap_short_zz1000,long_microcap_short_zz1000,True,0.012687228602631606,0.021745618897369257,0.08388409345548631,0.07316121313709378,0.010722880318392525,0.9,0.00027,1.0,,,-0.007153828405000726,97777064.29904324,0.0,0.0,0.0,-0.007153828405000673,47513907.732093364
2022-11-07,0.015053490708116206,long_microcap_short_zz1000,long_microcap_short_zz1000,True,0.015860032161905124,0.0005961571708765767,0.08424458464325468,0.04794847700602212,0.036296107637232566,0.9,0.00027,1.0,,,0.015053490708116206,99248950.42793576,0.0,0.0,0.0,0.015053490708116124,48229157.90064472
2022-11-08,0.008054170883459947,long_microcap_short_zz1000,long_microcap_short_zz1000,True,0.0058200151646545795,-0.002782395243117075,0.05932222098520534,0.03437801759766401,0.02494420338754133,0.9,0.00027,1.0,,,0.008054170883459947,100048318.4346864,0.0,0.0,0.0,0.008054170883460054,48617603.77994189
2022-11-09,9.789992220976914e-05,long_microcap_short_zz1000,long_microcap_short_zz1000,True,-0.0021795387480735284,-0.002830487411425886,0.05615481517780396,0.025737113006069068,0.030417702171734895,0.9,0.00027,1.0,,,9.789992220976914e-05,100058113.15727839,0.0,0.0,0.0,9.789992220987642e-05,48622363.43956997
2022-11-10,0.005878229015701478,long_microcap_short_zz1000,long_microcap_short_zz1000,True,-0.0036525352132316113,-0.010889738032147878,0.06050662345084601,0.022002275136779215,0.038504348314066794,0.9,0.00027,1.0,,,0.005878229015701478,100646277.66129585,0.0,0.0,0.0,0.005878229015701564,48908176.82715244
