rebalance_date,entry_count,exit_count,turnover_frac_one_side,two_side_cost_rate,effective_date,blocked_entry_count,blocked_exit_count,buy_turnover_frac,sell_turnover_frac,holding_count_after
2017-04-06,22,22,0.22,0.00132,,,,,,
2017-04-20,30,30,0.3,0.0018,,,,,,
2017-05-04,21,21,0.21,0.00126,,,,,,
2017-05-18,20,20,0.2,0.0012,,,,,,
2017-06-01,33,33,0.33,0.00198,,,,,,
2017-06-15,22,22,0.22,0.00132,,,,,,
2017-06-29,20,20,0.2,0.0012,,,,,,
2017-07-13,20,20,0.2,0.0012,,,,,,
2017-07-27,21,21,0.21,0.00126,,,,,,
2017-08-10,19,19,0.19,0.00114,,,,,,
2017-08-24,13,13,0.13,0.00078,,,,,,
2017-09-07,18,18,0.18,0.00108,,,,,,
2017-09-21,19,19,0.19,0.00114,,,,,,
2017-10-09,16,16,0.16,0.00096,,,,,,
2017-10-19,18,18,0.18,0.00108,,,,,,
2017-11-02,21,21,0.21,0.00126,,,,,,
2017-11-16,20,20,0.2,0.0012,,,,,,
2017-11-30,23,23,0.23,0.00138,,,,,,
2017-12-14,13,13,0.13,0.00078,,,,,,
2017-12-28,19,19,0.19,0.00114,,,,,,
2018-01-11,11,11,0.11,0.00066,,,,,,
2018-01-25,10,10,0.1,0.0006,,,,,,
2018-02-08,19,19,0.19,0.00114,,,,,,
2018-03-01,10,10,0.1,0.0006,,,,,,
2018-03-15,9,9,0.09,0.00054,,,,,,
2018-03-29,15,15,0.15,0.0009,,,,,,
2018-04-12,14,14,0.14,0.00084,,,,,,
2018-04-26,16,16,0.16,0.00096,,,,,,
2018-05-10,19,19,0.19,0.00114,,,,,,
2018-05-24,12,12,0.12,0.0007199999999999,,,,,,
2018-06-07,14,14,0.14,0.00084,,,,,,
2018-06-21,17,17,0.17,0.00102,,,,,,
2018-07-05,8,8,0.08,0.00048,,,,,,
2018-07-19,11,11,0.11,0.00066,,,,,,
2018-08-02,18,18,0.18,0.00108,,,,,,
2018-08-16,13,13,0.13,0.00078,,,,,,
2018-08-30,9,9,0.09,0.00054,,,,,,
2018-09-13,6,6,0.06,0.0003599999999999,,,,,,
2018-09-27,11,11,0.11,0.00066,,,,,,
2018-10-11,11,11,0.11,0.00066,,,,,,
2018-10-25,12,12,0.12,0.0007199999999999,,,,,,
2018-11-08,10,10,0.1,0.0006,,,,,,
2018-11-22,8,8,0.08,0.00048,,,,,,
2018-12-06,10,10,0.1,0.0006,,,,,,
2018-12-20,9,9,0.09,0.00054,,,,,,
2019-01-03,12,12,0.12,0.0007199999999999,,,,,,
2019-01-17,10,10,0.1,0.0006,,,,,,
2019-01-31,13,13,0.13,0.00078,,,,,,
2019-02-14,5,5,0.05,0.0003,,,,,,
2019-02-28,6,6,0.06,0.0003599999999999,,,,,,
2019-03-14,9,9,0.09,0.00054,,,,,,
2019-03-28,12,12,0.12,0.0007199999999999,,,,,,
2019-04-11,15,15,0.15,0.0009,,,,,,
2019-04-25,17,17,0.17,0.00102,,,,,,
2019-05-09,15,15,0.15,0.0009,,,,,,
2019-05-23,10,10,0.1,0.0006,,,,,,
2019-06-06,12,12,0.12,0.0007199999999999,,,,,,
2019-06-20,10,10,0.1,0.0006,,,,,,
2019-07-04,11,11,0.11,0.00066,,,,,,
2019-07-18,13,13,0.13,0.00078,,,,,,
2019-08-01,11,11,0.11,0.00066,,,,,,
2019-08-15,13,13,0.13,0.00078,,,,,,
2019-08-29,6,6,0.06,0.0003599999999999,,,,,,
2019-09-12,9,9,0.09,0.00054,,,,,,
2019-09-26,11,11,0.11,0.00066,,,,,,
2019-10-10,11,11,0.11,0.00066,,,,,,
2019-10-24,15,15,0.15,0.0009,,,,,,
2019-11-07,14,14,0.14,0.00084,,,,,,
2019-11-21,9,9,0.09,0.00054,,,,,,
2019-12-05,12,12,0.12,0.0007199999999999,,,,,,
2019-12-19,12,12,0.12,0.0007199999999999,,,,,,
2020-01-02,12,12,0.12,0.0007199999999999,,,,,,
2020-01-16,10,10,0.1,0.0006,,,,,,
2020-02-03,10,10,0.1,0.0006,,,,,,
2020-02-13,9,9,0.09,0.00054,,,,,,
2020-02-27,10,10,0.1,0.0006,,,,,,
