label,dd_moderate,dd_severe,hedge_ratio_moderate,hedge_ratio_severe,recover_dd,annual_return,annual_vol,sharpe,max_drawdown,total_return,start,end,days,latest_nav,hedge_ratio_mean_live,hedge_ratio_median_live,hedge_ratio_max_live,hedge_ratio_mean_active,hedge_ratio_median_active,share_above_0p8,share_above_1p0,moderate_or_worse_share,severe_share,recovery_band_share,n_ratio_changes
dd5_10_hr90_130_rec3,0.05,0.1,0.9,1.3,0.03,0.23954601907391848,0.10912553569472236,2.1951417470613492,-0.14923827153449568,31.308009893151173,2010-02-02,2026-04-10,3928,32.30800989315117,0.639358452138493,0.8,1.3,0.8473009446693659,0.8,0.24185336048879838,0.028767820773930752,0.48828920570264767,0.06415478615071284,0.15529531568228105,296
dd3_8_hr90_110_rec2,0.03,0.08,0.9,1.1,0.02,0.23736974639220798,0.10814833077091447,2.194853537730667,-0.1643122818304087,30.402167860877938,2010-02-02,2026-04-10,3928,31.402167860877938,0.6490071283095723,0.8,1.1,0.8600877192982457,0.8,0.33172097759674135,0.06084521384928717,0.5929226069246436,0.1265274949083503,0.08706720977596741,356
dd3_8_hr90_110_rec3,0.03,0.08,0.9,1.1,0.03,0.2373557490579934,0.10818735031912992,2.193932547177132,-0.16431228183040858,30.396419567724923,2010-02-02,2026-04-10,3928,31.396419567724923,0.6461812627291244,0.8,1.1,0.8563427800269905,0.8,0.3034623217922607,0.06084521384928717,0.5109470468431772,0.12678207739307534,0.0,394
dd4_10_hr90_120_rec2,0.04,0.1,0.9,1.2,0.02,0.23778805326706953,0.10842684990106455,2.1930735190042157,-0.14758281584363797,30.574410562059768,2010-02-02,2026-04-10,3928,31.574410562059768,0.6418788187372709,0.8,1.2,0.8506410256410257,0.8,0.29582484725050917,0.028767820773930752,0.5941955193482689,0.05575356415478615,0.1804989816700611,311
dd5_10_hr100_120_rec2,0.05,0.1,1.0,1.2,0.02,0.23746930197850324,0.1082943924017491,2.192812542846566,-0.15380529715800015,30.443080905340683,2010-02-02,2026-04-10,3928,31.443080905340683,0.6622199592668025,0.8,1.2,0.8775978407557354,0.8,0.2604378818737271,0.032331975560081466,0.595213849287169,0.06695519348268839,0.26272912423625255,294
dd4_6_hr90_110_rec2,0.04,0.06,0.9,1.1,0.02,0.2379176525488007,0.10855354211200559,2.191707869866809,-0.1583694699966551,30.627954158161046,2010-02-02,2026-04-10,3928,31.627954158161046,0.6528513238289206,0.8,1.1,0.8651821862348178,0.8,0.2769857433808554,0.10743380855397149,0.585285132382892,0.20621181262729124,0.22886965376782079,337
dd5_6_hr100_120_rec2,0.05,0.06,1.0,1.2,0.02,0.24012909234572932,0.10957006052596867,2.1915575403813663,-0.16615176310053464,31.554837086017336,2010-02-02,2026-04-10,3928,32.554837086017336,0.6757637474541753,0.8,1.2,0.8955465587044534,0.8,0.24083503054989816,0.11965376782077393,0.5771384928716904,0.22581466395112015,0.26883910386965376,351
dd5_6_hr90_110_rec3,0.05,0.06,0.9,1.1,0.03,0.2375360405588216,0.10842814892028746,2.1907230080396345,-0.1583694699966552,30.470535572378264,2010-02-02,2026-04-10,3928,31.470535572378264,0.6498727087576375,0.8,1.1,0.8612348178137651,0.8,0.21970468431771895,0.12118126272912423,0.48778004073319753,0.22683299389002037,0.20773930753564154,331
dd3_10_hr90_130_rec2,0.03,0.1,0.9,1.3,0.02,0.23741888953134005,0.10850315310364012,2.188128941327282,-0.15385312954253458,30.422357321487418,2010-02-02,2026-04-10,3928,31.422357321487418,0.6480651731160897,0.8,1.3,0.8588394062078274,0.8,0.3391038696537678,0.026221995926680244,0.5987780040733197,0.051171079429735235,0.09419551934826884,327
dd5_8_hr100_120_rec3,0.05,0.08,1.0,1.2,0.03,0.23897078923197035,0.10924804568634557,2.187414774613568,-0.16752282605094151,31.066224357596283,2010-02-02,2026-04-10,3928,32.06622435759628,0.6662423625254582,0.8,1.2,0.8829284750337382,0.8,0.24058044806517312,0.07230142566191446,0.4870162932790224,0.15020366598778004,0.15325865580448064,312
dd3_6_hr90_100_rec2,0.03,0.06,0.9,1.0,0.02,0.23570735212764204,0.10779747531823315,2.186575812019726,-0.15514425855278835,29.72633249240265,2010-02-02,2026-04-10,3928,30.72633249240265,0.6495672097759674,0.8,1.0,0.8608299595141701,0.8,0.33273930753564157,0.0,0.5962321792260692,0.24363543788187372,0.09241344195519348,391
dd3_6_hr90_110_rec3,0.03,0.06,0.9,1.1,0.03,0.23698206531595734,0.10838778738727108,2.186427742723607,-0.16293479688107082,30.243323142737307,2010-02-02,2026-04-10,3928,31.243323142737307,0.655040733197556,0.8,1.1,0.8680836707152496,0.8,0.2892057026476578,0.11227087576374746,0.49669042769857435,0.21945010183299388,0.0,416
dd3_6_hr90_100_rec3,0.03,0.06,0.9,1.0,0.03,0.23586180392476197,0.1079271472316235,2.1853797675072117,-0.15514425855278813,29.788544031088726,2010-02-02,2026-04-10,3928,30.788544031088726,0.6470213849287169,0.8,1.0,0.8574561403508774,0.8,0.3024439918533605,0.0,0.5096741344195519,0.24923625254582485,0.0,428
