date,return,holding,signal_on,weight,nav
2018-01-02,-0.0029825266622665377,long_microcap_short_zz1000,True,1.0,3.9273333022891204
2018-01-03,-0.0010626869944443725,long_microcap_short_zz1000,True,1.0,3.9231597762659294
2018-01-04,-0.0008062468218972604,long_microcap_short_zz1000,False,1.0,3.91999674116452
2018-01-05,0.0,cash,False,0.0,3.91999674116452
2018-01-08,0.0,cash,False,0.0,3.91999674116452
2018-01-09,0.0,cash,False,0.0,3.91999674116452
2018-01-10,0.0,cash,False,0.0,3.91999674116452
2018-01-11,0.0,cash,False,0.0,3.91999674116452
2018-01-12,0.0,cash,True,0.0,3.91999674116452
2018-01-15,-0.0007092194795283221,long_microcap_short_zz1000,True,1.0,3.9172166031159983
2018-01-16,0.00802580568480168,long_microcap_short_zz1000,True,1.0,3.9486554223978865
2018-01-17,0.007566369761347136,long_microcap_short_zz1000,True,1.0,3.978532409383897
2018-01-18,0.0017437951419229884,long_microcap_short_zz1000,True,1.0,3.985470154871364
2018-01-19,-0.00026343270244159027,long_microcap_short_zz1000,True,1.0,3.984420251697966
2018-01-22,-0.013565840165675669,long_microcap_short_zz1000,True,1.0,3.9303682434105505
2018-01-23,0.003176472387543117,long_microcap_short_zz1000,True,1.0,3.9428529496086204
2018-01-24,2.8086678471542378e-06,long_microcap_short_zz1000,False,1.0,3.942864023772926
2018-01-25,0.0,cash,False,0.0,3.942864023772926
2018-01-26,0.0,cash,False,0.0,3.942864023772926
2018-01-29,0.0,cash,False,0.0,3.942864023772926
2018-01-30,0.0,cash,False,0.0,3.942864023772926
2018-01-31,0.0,cash,False,0.0,3.942864023772926
2018-02-01,0.0,cash,False,0.0,3.942864023772926
2018-02-02,0.0,cash,False,0.0,3.942864023772926
2018-02-05,0.0,cash,False,0.0,3.942864023772926
2018-02-06,0.0,cash,False,0.0,3.942864023772926
2018-02-07,0.0,cash,False,0.0,3.942864023772926
2018-02-08,0.0,cash,False,0.0,3.942864023772926
2018-02-09,0.0,cash,False,0.0,3.942864023772926
2018-02-12,0.0,cash,False,0.0,3.942864023772926
2018-02-13,0.0,cash,False,0.0,3.942864023772926
2018-02-14,0.0,cash,True,0.0,3.942864023772926
2018-02-22,-0.0025769871557744014,long_microcap_short_zz1000,False,1.0,3.9327033138266985
2018-02-23,0.0,cash,False,0.0,3.9327033138266985
2018-02-26,0.0,cash,False,0.0,3.9327033138266985
2018-02-27,0.0,cash,True,0.0,3.9327033138266985
2018-02-28,-0.007497327882556448,long_microcap_short_zz1000,True,1.0,3.9032185476181236
2018-03-01,0.0031366696954744037,long_microcap_short_zz1000,True,1.0,3.915461654951251
2018-03-02,-0.0010026132211449542,long_microcap_short_zz1000,True,1.0,3.911535961329111
2018-03-05,0.004701850373841155,long_microcap_short_zz1000,True,1.0,3.9299274181511796
2018-03-06,0.002425698798014209,long_microcap_short_zz1000,True,1.0,3.939460238365672
2018-03-07,0.005586332821835261,long_microcap_short_zz1000,True,1.0,3.9614673743955695
2018-03-08,0.01375010866536327,long_microcap_short_zz1000,True,1.0,4.0159379812678
2018-03-09,0.0050653178705102,long_microcap_short_zz1000,True,1.0,4.036279983691177
2018-03-12,0.00017036600468963743,long_microcap_short_zz1000,True,1.0,4.036967628585807
2018-03-13,0.001281565253478079,long_microcap_short_zz1000,True,1.0,4.042141266028018
2018-03-14,-0.0002615969113556657,long_microcap_short_zz1000,True,1.0,4.041083854357562
2018-03-15,-0.018987497472618665,long_microcap_short_zz1000,False,1.0,3.964353784886308
2018-03-16,0.0,cash,False,0.0,3.964353784886308
2018-03-19,0.0,cash,True,0.0,3.964353784886308
2018-03-20,0.011135775185256292,long_microcap_short_zz1000,False,1.0,4.0084999373896215
2018-03-21,0.0,cash,False,0.0,4.0084999373896215
2018-03-22,0.0,cash,True,0.0,4.0084999373896215
2018-03-23,-0.013668499097023534,long_microcap_short_zz1000,True,1.0,3.9537097596149926
2018-03-26,-0.0033597782570191966,long_microcap_short_zz1000,True,1.0,3.9404261715300737
2018-03-27,0.009369964359249717,long_microcap_short_zz1000,True,1.0,3.9773478243175653
2018-03-28,0.008545094065264791,long_microcap_short_zz1000,True,1.0,4.011334635606635
2018-03-29,0.008907972418837418,long_microcap_short_zz1000,True,1.0,4.047067493903346
2018-03-30,0.0029653904470207885,long_microcap_short_zz1000,True,1.0,4.059068629188215
2018-04-02,0.0019823806344911547,long_microcap_short_zz1000,True,1.0,4.067115248232788
2018-04-03,0.004377210434064105,long_microcap_short_zz1000,True,1.0,4.0849178675338935
2018-04-04,0.008456112594969112,long_microcap_short_zz1000,True,1.0,4.119460392962961
2018-04-09,0.0049461144394106985,long_microcap_short_zz1000,True,1.0,4.139835715495176
2018-04-10,-0.00204088629461433,long_microcap_short_zz1000,True,1.0,4.131386781521467
2018-04-11,0.009665432423440168,long_microcap_short_zz1000,True,1.0,4.171318421273357
2018-04-12,0.0014000966947479102,long_microcap_short_zz1000,True,1.0,4.177158670407723
2018-04-13,-0.005240326620510249,long_microcap_short_zz1000,True,1.0,4.15526899462909
2018-04-16,-0.016579933268082415,long_microcap_short_zz1000,False,1.0,4.086374911987208
2018-04-17,0.0,cash,False,0.0,4.086374911987208
2018-04-18,0.0,cash,False,0.0,4.086374911987208
2018-04-19,0.0,cash,False,0.0,4.086374911987208
2018-04-20,0.0,cash,False,0.0,4.086374911987208
2018-04-23,0.0,cash,False,0.0,4.086374911987208
2018-04-24,0.0,cash,False,0.0,4.086374911987208
2018-04-25,0.0,cash,False,0.0,4.086374911987208
2018-04-26,0.0,cash,False,0.0,4.086374911987208
2018-04-27,0.0,cash,False,0.0,4.086374911987208
2018-05-02,0.0,cash,False,0.0,4.086374911987208
2018-05-03,0.0,cash,False,0.0,4.086374911987208
2018-05-04,0.0,cash,True,0.0,4.086374911987208
2018-05-07,0.005317832843969772,long_microcap_short_zz1000,True,1.0,4.108105570706948
2018-05-08,0.008438749432688264,long_microcap_short_zz1000,True,1.0,4.142772844261175
2018-05-09,0.007870339318994913,long_microcap_short_zz1000,True,1.0,4.175377872267028
2018-05-10,0.0071434688784839055,long_microcap_short_zz1000,True,1.0,4.205204554153478
