period,window,threshold,filtered_days_total,observed_days_total,filtered_pct_total,adk_annual_return_pct,adk_annual_vol_pct,adk_sharpe,adk_max_drawdown_pct,combined_annual_return_pct,combined_annual_vol_pct,combined_sharpe,combined_max_drawdown_pct,combined_annual_delta_pct,combined_sharpe_delta,combined_max_drawdown_delta_pct
5年,15,0.4,15582,37220,41.86458893068243,19.233086883849083,18.596337231402714,1.0342405950442284,-20.51157025047854,23.481766336196387,12.16576434071297,1.9301513393296788,-10.68161036320972,-2.7646673521281,-0.18957462570022066,0.9770510465140809
2年,15,0.4,15582,37220,41.86458893068243,14.838820712424216,18.11899279587136,0.8189649877119786,-18.023599775390718,29.370157307448164,13.597060348080008,2.16003728420573,-10.681610363209728,-1.601435112607085,-0.05527332115655259,0.9770510465141182
最长,20,0.1,6408,37220,17.216550241805482,26.637955277815315,20.04927913684137,1.3286240914700511,-30.61171588323523,20.05903832866851,12.451680996996918,1.6109502270019869,-17.350257184443247,-0.3444095181018163,-0.02449410917543826,0.0
10年,20,0.1,6408,37220,17.216550241805482,29.91927361811195,20.092621820058447,1.4890676730024137,-21.254094631643795,25.34969398310334,11.56612582272221,2.191718676732934,-11.302703071947823,-0.4620818256318522,-0.039215299808655235,0.3559583377760145
5年,20,0.1,6408,37220,17.216550241805482,30.729410944294287,20.641195654330662,1.488741808318989,-21.25409463164397,25.705257685826233,12.380566389639675,2.0762586199074824,-11.30270307194785,-0.5411760024982541,-0.04346734512241701,0.35595833777595054
2年,20,0.1,6408,37220,17.216550241805482,23.150302349139285,21.67307009623282,1.0681598059872115,-18.690978225600023,30.815346123161945,13.960776652647459,2.2072802172734614,-11.30270307194784,-0.15624629689330405,-0.008030388088821283,0.3559583377760056
最长,20,0.2,9556,37220,25.67436861902203,25.13490037287598,19.62715200033502,1.2806188270436254,-28.706232643374346,19.923800240123036,12.417902522979661,1.6044416682490066,-17.350257184443247,-0.47964760664729056,-0.031002667928418548,0.0
10年,20,0.2,9556,37220,25.67436861902203,28.647314148988468,19.787254991049075,1.4477659565183403,-22.212015721414456,25.45654294685611,11.521042314084431,2.2095694341592327,-11.159771946367721,-0.355232861879081,-0.02136454238235652,0.4988894633561163
5年,20,0.2,9556,37220,25.67436861902203,29.995170711349516,20.396493935553984,1.4706042521878566,-22.212015721414502,25.68775482863206,12.35583254039467,2.0789982985486093,-11.159771946367753,-0.5586788596924279,-0.040727666481290115,0.498889463356047
2年,20,0.2,9556,37220,25.67436861902203,25.718533089726826,21.558736238268082,1.1929517948308515,-17.80980035270129,31.23374800970251,13.966941536254671,2.236262529532865,-11.159771946367773,0.2621555896472607,0.020951924170582448,0.49888946335607365
最长,20,0.25,10988,37220,29.521762493283184,26.055245164709696,19.391082868978707,1.3436714875986695,-26.562697584101702,20.03742664872763,12.410570029438304,1.614545230492891,-17.350257184443247,-0.36602119804269506,-0.020899105684534236,0.0
10年,20,0.25,10988,37220,29.521762493283184,29.673065986508075,19.630951200698732,1.5115449925550173,-23.44506634233347,25.616191879255478,11.520244219086372,2.2235806283355863,-11.140007379533321,-0.1955839294797137,-0.007353348206002863,0.5186540301905165
5年,20,0.25,10988,37220,29.521762493283184,30.198519559514068,20.21622494329031,1.493776392191206,-23.445066342333444,25.675898161969336,12.347591579432079,2.0794256107999876,-11.140007379533316,-0.570535526355151,-0.04030035422991185,0.5186540301904845
2年,20,0.25,10988,37220,29.521762493283184,25.994081709753747,21.29320715757142,1.2207687417586033,-19.245848274450726,31.177488653379015,13.938169748284663,2.236842370011741,-11.14000737953331,0.2058962333237666,0.021531764649458385,0.518654030190536
最长,20,0.3,12343,37220,33.16227834497582,25.325499929712556,19.228445231603303,1.3170851633957548,-25.846164953476315,19.931059770963323,12.402242006230729,1.6070529635649917,-17.350257184443247,-0.4723880758070038,-0.028391372612433408,0.0
10年,20,0.3,12343,37220,33.16227834497582,28.31903132173308,19.479208646855554,1.4538081004797134,-22.23719742736627,25.42958604477832,11.5142896531121,2.208524087102948,-11.14000737953335,-0.3821897639568732,-0.022409889438641084,0.5186540301904881
5年,20,0.3,12343,37220,33.16227834497582,28.722556262082357,20.082584267071876,1.4302221208242052,-22.237197427366244,25.489403766854046,12.333958204349743,2.0666037086022273,-11.140007379533348,-0.7570299214704406,-0.0531222564276721,0.5186540301904525
2年,20,0.3,12343,37220,33.16227834497582,25.96103764611284,21.213746426386816,1.2237837260947497,-18.976694022133177,31.251383109610686,13.934423352440184,2.2427467803422214,-11.14000737953336,0.27979068955543696,0.027436174979938777,0.5186540301904863
最长,20,0.35,13762,37220,36.974744760881244,23.6759476149031,18.833087956572605,1.2571463410300898,-27.457512448663728,19.743684424889384,12.373740883254428,1.5956115948418488,-17.350257184443247,-0.6597634218809425,-0.03983274133557635,0.0
10年,20,0.35,13762,37220,36.974744760881244,25.73110125489766,19.065702378207934,1.349601538116333,-25.25404285268144,25.042436012071168,11.464926486379385,2.184264856981176,-11.140007379533339,-0.7693397966640241,-0.0466691195604132,0.5186540301904987
5年,20,0.35,13762,37220,36.974744760881244,25.114157590844897,19.536245794685065,1.2855160533287993,-25.25404285268142,24.947329584859812,12.274484873597407,2.032454301892691,-11.140007379533328,-1.2991041034646749,-0.08727166313720858,0.5186540301904721
2年,20,0.35,13762,37220,36.974744760881244,18.415366678235735,20.20946083170832,0.9112250362138469,-22.02396985208754,30.02847739892549,13.799119476211013,2.1761154724903333,-11.140007379533346,-0.9431150211297599,-0.03919513287194931,0.5186540301905005
最长,20,0.4,15219,37220,40.88930682428802,23.864703238734574,18.517179190790532,1.2887871847459151,-27.552944506277587,19.7720782192077,12.35546669627781,1.6002696381484487,-17.350257184443247,-0.631369627562627,-0.03517469802897644,0.0
10年,20,0.4,15219,37220,40.88930682428802,25.702106000029957,18.660137320537494,1.3773803246207634,-27.552944506277626,25.012761229844326,11.430002587835492,2.188342569271545,-11.140007379533303,-0.7990145788908656,-0.04259140727004418,0.5186540301905342
5年,20,0.4,15219,37220,40.88930682428802,22.974124394105424,18.95621051994932,1.2119576520807096,-27.55294450627756,24.59522182772549,12.21913542195317,2.0128446881386686,-11.140007379533316,-1.6512118605989983,-0.10688127689123084,0.5186540301904845
2年,20,0.4,15219,37220,40.88930682428802,11.497062184861662,19.152454396999506,0.6002918449273443,-24.42221627890894,28.668997642876647,13.681298227515912,2.0954881010646624,-11.140007379533321,-2.3025947771786015,-0.1198225042976202,0.5186540301905254
最长,30,0.1,6274,37220,16.856528747984957,24.08519020271318,19.556930256998857,1.2315424704290587,-25.50863863544844,19.775097651367133,12.425447232843592,1.5914998696462663,-17.350257184443247,-0.6283501954031934,-0.0439444665311588,0.0
10年,30,0.1,6274,37220,16.856528747984957,26.93123368363437,19.637828115375218,1.3713957330418258,-24.63085201327503,24.926300042560378,11.527904763905966,2.16225763077129,-11.885266634263592,-0.8854757661748138,-0.06867634577029902,-0.22660522453975496
5年,30,0.1,6274,37220,16.856528747984957,32.73453400656909,20.346396097295354,1.6088615325305937,-24.630852013275064,26.129405447790543,12.343707465658305,2.1168198874192155,-11.885266634263642,-0.11702824053394423,-0.0029060776106839548,-0.226605224539842
2年,30,0.1,6274,37220,16.856528747984957,21.545740840520054,21.468367596576286,1.0036040580913153,-19.374944464276776,30.646353477513365,13.948487282684091,2.197109468319071,-11.885266634263582,-0.32523894254188335,-0.0182011370432118,-0.22660522453973542
最长,30,0.2,9357,37220,25.13970983342289,22.293337777678502,18.828893920341088,1.1839961429489352,-32.10552403933224,19.694681303490146,12.379010828294177,1.5909737519959877,-17.350257184443247,-0.7087665432801806,-0.044470584181437456,0.0
10年,30,0.2,9357,37220,25.13970983342289,26.14958787727051,18.931520496832714,1.381272459422654,-21.118158224972426,25.029250865040375,11.456852782161492,2.1846532674323376,-11.248441826178396,-0.782524943694817,-0.04628070910925164,0.41021958354544097
5年,30,0.2,9357,37220,25.13970983342289,32.574852336768686,19.685185264847384,1.6547902343057395,-21.11815822497239,26.0854952754209,12.299093361259832,2.1209283082268504,-11.248441826178372,-0.16093841290358668,0.0012023431969510057,0.41021958354542853
2年,30,0.2,9357,37220,25.13970983342289,30.6272086124342,20.761428112282598,1.4751975850021097,-15.2041799406099,31.839872777095767,13.86751599005709,2.296004042823872,-11.248441826178384,0.8682803570405184,0.0806934374615893,0.4102195835454623
最长,30,0.25,10733,37220,28.836646963997854,22.4686153989186,18.475631794075177,1.2161216270895758,-38.17095743566891,19.78075135186068,12.3430139608821,1.602586808582613,-17.350257184443247,-0.622696494909647,-0.0328575275948122,0.0
